Rank,Year,Points
3621,2017,312
3622,2014,312
3623,2018,312
3624,2017,312
3625,2001,312
3626,2018,312
3627,2005,312
3628,2012,312
3629,2015,312
3630,2016,312
3631,2013,312
3632,2003,311
3633,2013,311
3634,2022,311
3635,2008,311
3636,2013,311
3637,2006,311
3638,2002,311
3639,2013,311
3640,2012,311
3641,2004,310
3642,2021,310
3643,2019,310
3644,2007,310
3645,2008,310
3646,2001,310
3647,2010,310
3648,2008,310
3649,1999,309
3650,2019,309
3651,2012,309
3652,2009,309
3653,2015,309
3654,2015,309
3655,2017,309
3656,2019,309
3657,2002,309
3658,2005,309
3659,2013,309
3660,2016,309
3661,2007,309
3662,2013,309
3663,2005,309
3664,2001,309
3665,2001,309
3666,2006,309
3667,2011,309
3668,2009,308
3669,2017,308
3670,2007,308
3671,2008,308
3672,2004,308
3673,2009,308
3674,2000,308
3675,2011,308
3676,2019,308
3677,2019,308
3678,2010,308
3679,2018,308
3680,2014,308
3681,2009,307
3682,2004,307
3683,2009,307
3684,2007,307
3685,2018,307
3686,2007,307
3687,2003,307
3688,2016,307
3689,2016,307
3690,2003,307
3691,2006,307
3692,2007,307
3693,2004,307
3694,2017,306
3695,2018,306
3696,2008,306
3697,2016,306
3698,2017,306
3699,2015,306
3700,2001,306
3701,2006,305
3702,1998,305
3703,2007,305
3704,2017,305
3705,2013,305
3706,2018,305
3707,2017,304
3708,2015,304
3709,2013,304
3710,2013,304
3711,2001,304
3712,2009,304
3713,2013,304
3714,2018,304
3715,2012,304
3716,2018,304
3717,2003,304
3718,2016,304
3719,2014,304
3720,2016,304
3721,2006,304
3722,2014,304
3723,2013,303
3724,2014,303
3725,1994,303
3726,2008,303
3727,1999,303
3728,2008,303
3729,2007,303
3730,2014,303
3731,2000,303
3732,2003,303
3733,2008,302
3734,2012,302
3735,2011,302
3736,2017,302
3737,2011,302
3738,2019,302
3739,2015,302
3740,2002,302
3741,2007,302
3742,2011,302
3743,2002,302
3744,2008,301
3745,2007,301
3746,2014,301
3747,2009,301
3748,2014,301
3749,2012,301
3750,2009,301
3751,1994,301
3752,2010,301
3753,2007,301
3754,2009,301
3755,1999,301
3756,2017,301
3757,2010,301
3758,1998,301
3759,2019,300
3760,1997,300
3761,2006,300
3762,1996,300
3763,2021,300
3764,2020,300
3765,2013,300
3766,2007,300
3767,2013,300
3768,2005,300
3769,2017,300
3770,2021,300
3771,2003,300
3772,2006,300
3773,2000,299
3774,2016,299
3775,2018,299
3776,2017,299
3777,2010,299
3778,2016,299
3779,2004,299
3780,2014,299
3781,2010,299
3782,2005,299
3783,2017,299
3784,2011,299
3785,2003,298
3786,2014,298
3787,2009,298
3788,2010,298
3789,2018,298
3790,2001,298
3791,2019,298
3792,2008,298
3793,2016,298
3794,2014,298
3795,2010,298
3796,1995,298
3797,2003,297
3798,2015,297
3799,2012,297
3800,2022,297
3801,2018,297
3802,2018,297
3803,2018,297
3804,2017,297
3805,2019,296
3806,2012,296
3807,2011,296
3808,2019,296
3809,2006,296
3810,2015,296
3811,2019,296
3812,2013,296
3813,2009,296
3814,2004,296
3815,2011,296
3816,1997,296
3817,2002,296
3818,2022,296
3819,2015,295
3820,2011,295
3821,2010,295
3822,2011,295
3823,2017,295
3824,1995,295
3825,2015,295
3826,2000,295
3827,2002,295
3828,2014,295
3829,2006,295
3830,2001,295
3831,2019,295
3832,2018,294
3833,2004,294
3834,2018,294
3835,2013,294
3836,2004,294
3837,2017,294
3838,2003,294
3839,2006,294
3840,2008,294
3841,2002,294
3842,2012,294
3843,2018,294
3844,2011,294
3845,1994,294
3846,2014,293
3847,2008,293
3848,2006,293
3849,2012,293
3850,2018,293
3851,2013,293
3852,2007,293
3853,2001,292
3854,2008,292
3855,2013,292
3856,2019,292
3857,2010,292
3858,2003,292
3859,2016,292
3860,2019,292
3861,2014,292
3862,2009,292
3863,2007,292
3864,2019,291
3865,2009,291
3866,2016,291
3867,2013,291
3868,2019,291
3869,2018,291
3870,2022,291
3871,2018,291
3872,2013,291
3873,2011,291
3874,2004,290
3875,2019,290
3876,2018,290
3877,2011,290
3878,2018,290
3879,2016,290
3880,2008,290
3881,2011,290
3882,2012,290
3883,2015,290
3884,1994,290
3885,2014,290
3886,2016,290
3887,2006,290
3888,2010,290
3889,2015,290
3890,2007,290
3891,2006,289
3892,2020,289
3893,2007,289
3894,2001,289
3895,2007,289
3896,2012,289
3897,2016,289
3898,2005,289
3899,2011,289
3900,2018,289
3901,1997,289
3902,2016,289
3903,2013,289
3904,2006,289
3905,2013,289
3906,2003,288
3907,2007,288
3908,2010,288
3909,2016,288
3910,2013,288
3911,2006,288
3912,2019,288
3913,2016,288
3914,2011,288
3915,2010,287
3916,2000,287
3917,2006,287
3918,2017,287
3919,2010,287
3920,2017,287
3921,2005,287
3922,2005,287
3923,2009,287
3924,2016,286
3925,2012,286
3926,2009,286
3927,1996,286
3928,2004,286
3929,2019,286
3930,2008,286
3931,1998,286
3932,2010,286
3933,2012,286
3934,2018,286
3935,2012,286
3936,2016,286
3937,2002,286
3938,2002,285
3939,2019,285
3940,2006,285
3941,2008,285
3942,2012,285
3943,2008,285
3944,2014,285
3945,2007,285
3946,2008,285
3947,2015,285
3948,2016,285
3949,2016,285
3950,2017,284
3951,1997,284
3952,2012,284
3953,2018,284
3954,2001,284
3955,2013,284
3956,2006,284
3957,2000,284
3958,2019,284
3959,1997,284
3960,2004,284
3961,2007,284
3962,2010,283
3963,2008,283
3964,2018,283
3965,2021,283
3966,2009,283
3967,2018,283
3968,2009,282
3969,2019,282
3970,2019,282
3971,2008,282
3972,2015,282
3973,2006,282
3974,2010,282
3975,2006,282
3976,2015,282
3977,2009,282
3978,2015,281
3979,2012,281
3980,2014,281
3981,2015,281
3982,2006,280
3983,2014,280
3984,2017,280
3985,2021,280
3986,2017,280
3987,2017,280
3988,2009,280
3989,2006,280
3990,2007,280
3991,2008,279
3992,2004,279
3993,2002,279
3994,2010,279
3995,2013,279
3996,2002,279
3997,2003,279
3998,2001,279
3999,2015,279
4000,2013,278
4001,1998,278
4002,2004,278
4003,2022,278
4004,2004,278
4005,2014,278
4006,2010,278
4007,2022,278
4008,2007,278
4009,2008,278
4010,1998,278
4011,2011,278
4012,2005,277
4013,1996,277
4014,2006,277
4015,1999,277
4016,2013,277
4017,2012,277
4018,2015,277
4019,2007,277
4020,2012,277
4021,2018,277
4022,2001,277
4023,2008,277
4024,2019,277
4025,2022,277
4026,1994,277
4027,2017,276
4028,2003,276
4029,2014,276
4030,2006,276
4031,2022,276
4032,2003,276
4033,2011,276
4034,2022,276
4035,2014,276
4036,2001,276
4037,2017,276
4038,2004,276
4039,1999,276
4040,2006,276
4041,2016,276
4042,2008,276
4043,2015,276
4044,2019,276
4045,2007,276
4046,2011,276
4047,2006,275
4048,2018,275
4049,2015,275
4050,2000,275
4051,2014,275
4052,2011,275
4053,2022,275
4054,2016,275
4055,2008,275
4056,2022,275
4057,2008,275
4058,1994,275
4059,2011,275
4060,2010,275
4061,2018,274
4062,2022,274
4063,2019,274
4064,2005,274
4065,2017,274
4066,2016,274
4067,2013,274
4068,2019,274
4069,2017,274
4070,2015,274
4071,2003,274
4072,2017,274
4073,2008,274
4074,2001,274
4075,2005,274
4076,2019,274
4077,2004,273
4078,2010,273
4079,2019,273
4080,2002,273
4081,2015,273
4082,2012,273
4083,2000,272
4084,1997,272
4085,2006,272
4086,2009,272
4087,2010,272
4088,2018,272
4089,2015,272
4090,2008,272
4091,2003,272
4092,2014,272
4093,1995,272
4094,2009,272
4095,2004,272
4096,2009,272
4097,2018,271
4098,2007,271
4099,2013,271
4100,2017,271
4101,2002,271
4102,2016,271
4103,2014,271
4104,2008,271
4105,2016,270
4106,2012,270
4107,1998,270
4108,1999,270
4109,2009,270
4110,2022,270
4111,2015,270
4112,2014,270
4113,2009,270
4114,2014,270
4115,2005,270
4116,2008,270
4117,2017,270
4118,2002,269
4119,2011,269
4120,2018,269
4121,2017,269
4122,2000,269
4123,2005,269
4124,2013,269
4125,2013,269
4126,2018,269
4127,2007,269
4128,2011,269
4129,2022,269
4130,2018,269
4131,2002,268
4132,2016,268
4133,2011,268
4134,2010,268
4135,2005,268
4136,2016,268
4137,2018,268
4138,2000,268
4139,2007,268
4140,2013,268
4141,2016,268
4142,2019,267
4143,2008,267
4144,2008,267
4145,2001,267
4146,2022,267
4147,2005,267
4148,1997,267
4149,2018,267
4150,2007,267
4151,2015,267
4152,2006,266
4153,2012,266
4154,2015,266
4155,2022,266
4156,2018,266
4157,1999,266
4158,2010,266
4159,2015,266
4160,2008,266
4161,2005,266
4162,2019,266
4163,2012,266
4164,2008,266
4165,2012,266
4166,2014,265
4167,2019,265
4168,2009,265
4169,2001,265
4170,2012,265
4171,2016,265
4172,2005,265
4173,2019,265
4174,2011,265
4175,1998,265
4176,2015,265
4177,2013,265
4178,2010,265
4179,2011,264
4180,2011,264
4181,2013,264
4182,2010,264
4183,2015,264
4184,2011,264
4185,2013,264
4186,2012,264
4187,2012,264
4188,2016,263
4189,2018,263
4190,2012,263
4191,2008,263
4192,1999,263
4193,2015,263
4194,2014,263
4195,2017,262
4196,2017,262
4197,2019,262
4198,2018,262
4199,2004,262
4200,2016,262
4201,2011,262
4202,2008,262
4203,2008,262
4204,2017,262
4205,2015,262
4206,2018,262
4207,2004,262
4208,2005,262
4209,2003,262
4210,2011,262
4211,2017,262
4212,2009,262
4213,2007,262
4214,2017,261
4215,2001,261
4216,2002,261
4217,1999,261
4218,1995,261
4219,2000,261
4220,2008,261
4221,2006,261
4222,2014,261
4223,2012,261
4224,2002,260
4225,2014,260
4226,1997,260
4227,2017,260
4228,1995,260
4229,2009,260
4230,1997,260
4231,2014,260
4232,2001,260
4233,2019,260
4234,2010,260
4235,2009,260
4236,2009,260
4237,2005,260
4238,2016,260
4239,2016,259
4240,2000,259
4241,2022,259
4242,2014,259
4243,2020,259
4244,2011,259
4245,2000,259
4246,2000,259
4247,1998,259
4248,2014,258
4249,2015,258
4250,2021,258
4251,2011,258
4252,2009,258
4253,2007,258
4254,2017,258
4255,2004,257
4256,2018,257
4257,2008,257
4258,2001,257
4259,2003,257
4260,2015,257
4261,2008,257
4262,1997,257
4263,2019,257
4264,2021,257
4265,2014,257
4266,2011,257
4267,2022,257
4268,2008,257
4269,2010,256
4270,2018,256
4271,2008,256
4272,2008,256
4273,2010,256
4274,2014,256
4275,2016,256
4276,2004,256
4277,2013,256
4278,2007,256
4279,2018,256
4280,1999,256
4281,1999,255
4282,2007,255
4283,2017,255
4284,1998,255
4285,2016,255
4286,2010,255
4287,2021,255
4288,2005,255
4289,2017,255
4290,2012,255
4291,2010,255
4292,2010,255
4293,2010,255
4294,2016,254
4295,2001,254
4296,2001,254
4297,2016,254
4298,2009,254
4299,2015,254
4300,2013,254
4301,2004,254
4302,2022,254
4303,2004,253
4304,2019,253
4305,2010,253
4306,2022,253
4307,2019,253
4308,2013,253
4309,2005,253
4310,2007,253
4311,2014,253
4312,2008,253
4313,2018,253
4314,2012,253
4315,2019,252
4316,2005,252
4317,1999,252
4318,2004,252
4319,2009,252
4320,2013,252
4321,2019,252
4322,2011,252
4323,1996,252
4324,2016,252
4325,2010,252
4326,2003,252
4327,2021,252
4328,2006,251
4329,2001,251
4330,2004,251
4331,2019,251
4332,2016,251
4333,2019,251
4334,2014,251
4335,2011,251
4336,2018,251
4337,2017,251
4338,2011,251
4339,2007,251
4340,2020,250
4341,2016,250
4342,2016,250
4343,2002,250
4344,2006,250
4345,2022,250
4346,2016,250
4347,2006,250
4348,2013,250
4349,2014,250
4350,2021,250
4351,2022,250
4352,2012,250
4353,2018,250
4354,2017,250
4355,2019,250
4356,2013,249
4357,2009,249
4358,2002,249
4359,2016,249
4360,1999,249
4361,2014,249
4362,2009,249
4363,2018,249
4364,2010,249
4365,2009,249
4366,2016,249
4367,2014,249
4368,2008,249
4369,2011,249
4370,2016,249
4371,2001,248
4372,2014,248
4373,2019,248
4374,2013,248
4375,2014,248
4376,2016,248
4377,2012,248
4378,2009,248
4379,2017,248
4380,2009,248
4381,2019,248
4382,1999,248
4383,2018,247
4384,2009,247
4385,2008,247
4386,2016,247
4387,2018,247
4388,2004,247
4389,1996,247
4390,2005,247
4391,2015,247
4392,2017,247
4393,2001,247
4394,2017,247
4395,2005,247
4396,2022,246
4397,2002,246
4398,2017,246
4399,2008,246
4400,2019,246
4401,2013,246
4402,2014,246
4403,2016,246
4404,2014,246
4405,2006,246
4406,2007,246
4407,2002,246
4408,2012,246
4409,2007,246
4410,2012,246
4411,2014,246
4412,2006,246
4413,2017,246
4414,2019,245
4415,2011,245
4416,2010,245
4417,1995,245
4418,2011,245
4419,2006,245
4420,2013,245
4421,2018,245
4422,1998,245
4423,2013,245
4424,2018,245
4425,2012,245
4426,2006,245
4427,2015,245
4428,2002,245
4429,2016,244
4430,2017,244
4431,2021,244
4432,2002,244
4433,2013,244
4434,2015,244
4435,2022,244
4436,2010,244
4437,2016,244
4438,2008,244
4439,2003,244
4440,2010,244
4441,2013,244
4442,2004,244
4443,2015,243
4444,2007,243
4445,2005,243
4446,2012,243
4447,2016,243
4448,2006,243
4449,2016,243
4450,2015,243
4451,2011,243
4452,2008,243
4453,2009,243
4454,2019,243
4455,2022,243
4456,2014,243
4457,2016,243
4458,2008,243
4459,2002,243
4460,2003,243
4461,2015,243
4462,2011,243
4463,2012,242
4464,2016,242
4465,2006,242
4466,2016,242
4467,2009,242
4468,2004,242
4469,2004,242
4470,2019,242
4471,2012,242
4472,2019,242
4473,1997,242
4474,2019,241
4475,1995,241
4476,1997,241
4477,2010,241
4478,2007,240
4479,2018,240
4480,2009,240
4481,2012,240
4482,2011,240
4483,2017,240
4484,2014,240
4485,2005,240
4486,2015,240
4487,2011,240
4488,2022,240
4489,2013,240
4490,2018,240
4491,2013,240
4492,2010,240
4493,2015,240
4494,2014,239
4495,2017,239
4496,2004,239
4497,2004,239
4498,2006,239
4499,2014,239
4500,2019,239
4501,2017,239
4502,2012,239
4503,2019,239
4504,2012,239
4505,2012,238
4506,2014,238
4507,2019,238
4508,2003,238
4509,2008,238
4510,1997,238
4511,2018,238
4512,2013,238
4513,2007,238
4514,2016,238
4515,2017,237
4516,2003,237
4517,2010,237
4518,2006,237
4519,2014,237
4520,2013,237
4521,2016,237
4522,2005,237
4523,2002,237
4524,2013,237
4525,2016,237
4526,2014,237
4527,2004,237
4528,2008,237
4529,2021,236
4530,1994,236
4531,2017,236
4532,2017,236
4533,2009,236
4534,2011,236
4535,2001,236
4536,2007,236
4537,2016,236
4538,1996,236
4539,2007,236
4540,2021,236
4541,2006,236
4542,1996,235
4543,2003,235
4544,2013,235
4545,2013,235
4546,2010,235
4547,2015,235
4548,2012,235
4549,2008,235
4550,2016,235
4551,2009,235
4552,2001,235
4553,2005,235
4554,2009,235
4555,2001,235
4556,2015,234
4557,2002,234
4558,2008,234
4559,2006,234
4560,2003,234
4561,2017,234
4562,2017,234
4563,2003,234
4564,2011,234
4565,2018,234
4566,2014,234
4567,2015,234
4568,2022,234
4569,2019,234
4570,2019,234
4571,2016,234
4572,2012,233
4573,2001,233
4574,2014,233
4575,2019,233
4576,2012,233
4577,2005,233
4578,2009,233
4579,2014,233
4580,2005,233
4581,2004,233
4582,2014,233
4583,2003,233
4584,2021,233
4585,2011,233
4586,2018,233
4587,2011,233
4588,2014,232
4589,2018,232
4590,2016,232
4591,1997,232
4592,2007,232
4593,2004,232
4594,2011,232
4595,2003,232
4596,2008,232
4597,2002,232
4598,2011,232
4599,2008,231
4600,2021,231
4601,2008,231
4602,2014,231
4603,2018,231
4604,2011,231
4605,2008,231
4606,2014,231
4607,2004,231
4608,2015,230
4609,2018,230
4610,2005,230
4611,2016,230
4612,2006,230
4613,2014,230
4614,2014,230
4615,2012,230
4616,2017,230
4617,2006,230
4618,2005,230
4619,2016,230
4620,2008,230
4621,2007,229
4622,2017,229
4623,2009,229
4624,2011,229
4625,2016,229
4626,2018,229
4627,2017,229
4628,2006,229
4629,2001,229
4630,2019,229
4631,2019,229
4632,2009,229
4633,2008,229
4634,2013,229
4635,2018,229
4636,2006,229
4637,2012,229
4638,2007,228
4639,2019,228
4640,2017,228
4641,2004,228
4642,2008,228
4643,2003,228
4644,2013,228
4645,2004,228
4646,2018,228
4647,2010,228
4648,2008,228
4649,2013,228
4650,1994,228
4651,2012,228
4652,2022,228
4653,2014,227
4654,1999,227
4655,2010,227
4656,2010,227
4657,2021,227
4658,2015,227
4659,2016,227
4660,2000,227
4661,2009,227
4662,2007,227
4663,2021,227
4664,2015,227
4665,2012,227
4666,1997,226
4667,2014,226
4668,2010,226
4669,2016,226
4670,1998,226
4671,2006,226
4672,2014,226
4673,2011,226
4674,2010,226
4675,2022,226
4676,2018,226
4677,2007,226
4678,2011,226
4679,2019,226
4680,1996,226
4681,1996,226
4682,2004,226
4683,1996,226
4684,2011,225
4685,1995,225
4686,1996,225
4687,2003,225
4688,2007,225
4689,2004,225
4690,2010,225
4691,2011,225
4692,2011,225
4693,2003,225
4694,2008,224
4695,2022,224
4696,2002,224
4697,2009,224
4698,2017,224
4699,2014,224
4700,2018,224
4701,2004,224
4702,2018,224
4703,2019,224
4704,2013,224
4705,2005,224
4706,2000,223
4707,2015,223
4708,2001,223
4709,2010,223
4710,2015,223
4711,2003,223
4712,2019,223
4713,2005,223
4714,2010,223
4715,2011,223
4716,2008,223
4717,2002,223
4718,2011,223
4719,2008,223
4720,2022,222
4721,1998,222
4722,2011,222
4723,2019,222
4724,2007,222
4725,2010,222
4726,2008,222
4727,1996,222
4728,2012,222
4729,2006,222
4730,2014,222
4731,2012,222
4732,2015,222
4733,2012,222
4734,2019,222
4735,2019,222
4736,2012,222
4737,2012,222
4738,2019,221
4739,2022,221
4740,2010,221
4741,2007,221
4742,2005,221
4743,2018,221
4744,2014,221
4745,2022,221
4746,2018,221
4747,2014,221
4748,2015,221
4749,2005,221
4750,2004,221
4751,2001,221
4752,2015,221
4753,2018,221
4754,2003,220
4755,2006,220
4756,2004,220
4757,2006,220
4758,1999,220
4759,2007,220
4760,2016,220
4761,2017,220
4762,2013,220
4763,2011,220
4764,2016,220
4765,2018,219
4766,2002,219
4767,2018,219
4768,2010,219
4769,2016,219
4770,2014,219
4771,2016,219
4772,2018,219
4773,2007,219
4774,2013,219
4775,2017,218
4776,2004,218
4777,2001,218
4778,2010,218
4779,2019,218
4780,2017,218
4781,2017,218
4782,1995,218
4783,2011,218
4784,2012,218
4785,2013,217
4786,2015,217
4787,2017,217
4788,2022,217
4789,2006,217
4790,2008,217
4791,2006,217
4792,2020,217
4793,2018,217
4794,2012,217
4795,2013,217
4796,2016,217
4797,2019,217
4798,2017,217
4799,1994,217
4800,2012,217
4801,2013,216
4802,2015,216
4803,2022,216
4804,2016,216
4805,2008,216
4806,2012,216
4807,2018,216
4808,2018,216
4809,2016,216
4810,2000,216
4811,2014,216
4812,2010,216
4813,2010,216
4814,2015,216
4815,2011,216
4816,2017,216
4817,2000,216
4818,2019,215
4819,2016,215
4820,2008,215
4821,2019,215
4822,2001,215
4823,2009,215
4824,1995,215
4825,2013,215
4826,2019,215
4827,2012,215
4828,2015,214
4829,2011,214
4830,2011,214
4831,2010,214
4832,2018,214
4833,2015,214
4834,2016,214
4835,2012,214
4836,2005,214
4837,2003,214
4838,2017,214
4839,2008,214
4840,2012,214
4841,2022,214
4842,2011,214
4843,2017,214
4844,2003,214
4845,2011,214
4846,2008,213
4847,2022,213
4848,2019,213
4849,2015,213
4850,2002,213
4851,2014,213
4852,2004,213
4853,2017,213
4854,2021,213
4855,2009,213
4856,2019,213
4857,2002,213
4858,2008,213
4859,2018,213
4860,2002,213
4861,2012,213
4862,2022,213
4863,2012,213
4864,2008,213
4865,2004,212
4866,2003,212
4867,2018,212
4868,2009,212
4869,1999,212
4870,2013,212
4871,2005,212
4872,2012,212
4873,2004,212
4874,2014,212
4875,2008,212
4876,2009,212
4877,2006,212
4878,2014,212
4879,1997,212
4880,2007,212
4881,2002,212
4882,2016,212
4883,2008,212
4884,2006,212
4885,2004,212
4886,2012,212
4887,2016,212
4888,2000,212
4889,2018,212
4890,1994,211
4891,2001,211
4892,2022,211
4893,2010,211
4894,2017,211
4895,2012,211
4896,2016,211
4897,2018,211
4898,2012,211
4899,2016,211
4900,2003,211
4901,2009,211
4902,2005,211
4903,2012,211
4904,2005,211
4905,2016,211
4906,2016,210
4907,2011,210
4908,2008,210
4909,2008,210
4910,2000,210
4911,2004,210
4912,2017,210
4913,2001,210
4914,2019,210
4915,1997,210
4916,2022,210
4917,2004,210
4918,1995,210
4919,2000,210
4920,2015,210
4921,2010,210
4922,2012,209
4923,2012,209
4924,2014,209
4925,2007,209
4926,2004,209
4927,2022,209
4928,2018,209
4929,2007,209
4930,2011,209
4931,2017,209
4932,2000,209
4933,2002,209
4934,2008,209
4935,2012,209
4936,2009,208
4937,2006,208
4938,2006,208
4939,2005,208
4940,2015,208
4941,2011,208
4942,2009,208
4943,2011,208
4944,2006,208
4945,2019,207
4946,2010,207
4947,2010,207
4948,2016,207
4949,2012,207
4950,2011,207
4951,2012,207
4952,2003,207
4953,1999,207
4954,2019,207
4955,2007,207
4956,2005,207
4957,2016,207
4958,2003,206
4959,2010,206
4960,2013,206
4961,2001,206
4962,2016,206
4963,2008,206
4964,2008,206
4965,2013,206
4966,2008,206
4967,2019,206
4968,2004,206
4969,2011,206
4970,2017,206
4971,2013,206
4972,2022,206
4973,2012,206
4974,2002,206
4975,2015,206
4976,2000,205
4977,2004,205
4978,2010,205
4979,2013,205
4980,2010,205
4981,2014,205
4982,2018,205
4983,2013,205
4984,2007,205
4985,2019,205
4986,2007,204
4987,2006,204
4988,2009,204
4989,2011,204
4990,2015,204
4991,2016,204
4992,2011,204
4993,2001,204
4994,2020,204
4995,2016,204
4996,2012,204
4997,2008,204
4998,2006,204
4999,2002,204
5000,2000,204
5001,2014,204
5002,2000,204
5003,2017,204
5004,2007,204
5005,2010,203
5006,2021,203
5007,2017,203
5008,2005,203
5009,2022,203
5010,1998,203
5011,2002,203
5012,2019,203
5013,2007,203
5014,2012,203
5015,2017,203
5016,2006,203
5017,2016,203
5018,2017,203
5019,2013,203
5020,2014,203
5021,2019,203
5022,2016,202
5023,2014,202
5024,2011,202
5025,2007,202
5026,2001,202
5027,2001,202
5028,2001,202
5029,2011,202
5030,2001,202
5031,2012,202
5032,2009,202
5033,2008,202
5034,2017,202
5035,2013,202
5036,2019,202
5037,2010,201
5038,2022,201
5039,2004,201
5040,2011,201
5041,2005,201
5042,2008,201
5043,2006,201
5044,2018,201
5045,2002,201
5046,2006,201
5047,2016,201
5048,2004,200
5049,2014,200
5050,2001,200
5051,2012,200
5052,2013,200
5053,2005,200
5054,2011,200
5055,2006,200
5056,2022,200
5057,2002,200
5058,2010,200
5059,2015,200
5060,2019,200
5061,2013,200
5062,2014,200
5063,2014,200
5064,2013,200
5065,2008,200
5066,2016,199
5067,2008,199
5068,2006,199
5069,2006,199
5070,2003,199
5071,2008,199
5072,2002,199
5073,2014,199
5074,2016,199
5075,2015,199
5076,2007,199
5077,2002,199
5078,2021,199
5079,2010,199
5080,2014,199
5081,2011,199
5082,2006,199
5083,2015,199
5084,2020,198
5085,2015,198
5086,2011,198
5087,1998,198
5088,2011,198
5089,2017,198
5090,2014,198
5091,2012,198
5092,2005,198
5093,2006,198
5094,2000,198
5095,2008,198
5096,2011,198
5097,2015,197
5098,2008,197
5099,1996,197
5100,2018,197
5101,2018,197
5102,2012,197
5103,2007,197
5104,2013,197
5105,1998,197
5106,2003,197
5107,2007,197
5108,2018,197
5109,2018,197
5110,2012,197
5111,2017,197
5112,2005,197
5113,2016,197
5114,2018,197
5115,2015,196
5116,2011,196
5117,2016,196
5118,2005,196
5119,2019,196
5120,2001,196
5121,2008,196
5122,2009,196
5123,2022,196
5124,2012,196
5125,2014,196
5126,2006,196
5127,2008,196
5128,2013,196
5129,2007,196
5130,2022,196
5131,2014,195
5132,2017,195
5133,2022,195
5134,2019,195
5135,2012,195
5136,1998,195
5137,2005,195
5138,2003,195
5139,2010,195
5140,2014,195
5141,2017,195
5142,2019,195
5143,2012,195
5144,2015,195
5145,2022,195
5146,2008,194
5147,2004,194
5148,2016,194
5149,2010,194
5150,2015,194
5151,2007,194
5152,2002,194
5153,1999,194
5154,2011,194
5155,2008,194
5156,2010,194
5157,2017,194
5158,2007,194
5159,2022,194
5160,2012,194
5161,2013,193
5162,2007,193
5163,1996,193
5164,1998,193
5165,2004,193
5166,2016,193
5167,2019,193
5168,2008,193
5169,2015,193
5170,1999,193
5171,2008,193
5172,1995,193
5173,2012,193
5174,2006,193
5175,2002,193
5176,2014,193
5177,2016,193
5178,2022,193
5179,2010,192
5180,2007,192
5181,2003,192
5182,2001,192
5183,2010,192
5184,2007,192
5185,2017,192
5186,2001,192
5187,2013,192
5188,2019,192
5189,1999,192
5190,2003,192
5191,2007,192
5192,2009,192
5193,2014,192
5194,2003,192
5195,2014,192
5196,2001,192
5197,2017,192
5198,2014,192
5199,2012,192
5200,2008,192
5201,2015,192
5202,2002,191
5203,2008,191
5204,2000,191
5205,2001,191
5206,2016,191
5207,2021,191
5208,2008,191
5209,2010,191
5210,2006,191
5211,2008,191
5212,2002,191
5213,2002,191
5214,2003,191
5215,2018,191
5216,2013,191
5217,2022,191
5218,2017,190
5219,2010,190
5220,2001,190
5221,2016,190
5222,2018,190
5223,2006,190
5224,2016,190
5225,2015,190
5226,2014,190
5227,2017,190
5228,2008,190
5229,2008,190
5230,2014,190
5231,2011,190
5232,2018,190
5233,2018,190
5234,2001,190
5235,2015,190
5236,2001,190
5237,2018,190
5238,2015,190
5239,2015,190
5240,2008,190
5241,2022,189
5242,2019,189
5243,2016,189
5244,2008,189
5245,2008,189
5246,2018,189
5247,2003,189
5248,2008,189
5249,2016,189
5250,2014,189
5251,2019,189
5252,2017,189
5253,2000,188
5254,2005,188
5255,2019,188
5256,2018,188
5257,2013,188
5258,2002,188
5259,2004,188
5260,2016,188
5261,1999,188
5262,2019,188
5263,2001,188
5264,2022,188
5265,2022,188
5266,2010,188
5267,2018,188
5268,2000,188
5269,2015,188
5270,2002,188
5271,2015,188
5272,2011,188
5273,2018,188
5274,2002,188
5275,2012,187
5276,2008,187
5277,2015,187
5278,2009,187
5279,2008,187
5280,2008,187
5281,2018,187
5282,2001,187
5283,2019,187
5284,2006,187
5285,2008,187
5286,2019,187
5287,2010,187
5288,2007,187
5289,2003,187
5290,2015,187
5291,2015,186
5292,2013,186
5293,2016,186
5294,2011,186
5295,2003,186
5296,2007,186
5297,2019,186
5298,2018,186
5299,2013,186
5300,2022,186
5301,2008,186
5302,2019,186
5303,2006,186
5304,2008,186
5305,2018,186
5306,2015,186
5307,2016,186
5308,2014,186
5309,2000,186
5310,2018,186
5311,2002,185
5312,2012,185
5313,2016,185
5314,2010,185
5315,2010,185
5316,2015,185
5317,2010,185
5318,2004,185
5319,2004,185
5320,2013,185
5321,2012,185
5322,2014,185
5323,2008,185
5324,2010,185
5325,2002,185
5326,2008,185
5327,2018,185
5328,2019,185
5329,2012,185
5330,2008,184
5331,2002,184
5332,2002,184
5333,2018,184
5334,2014,184
5335,2019,184
5336,2012,184
5337,2011,184
5338,2021,184
5339,1998,184
5340,2004,184
5341,2005,184
5342,2015,184
5343,2016,184
5344,2012,184
5345,2016,184
5346,2007,184
5347,2007,184
5348,2008,184
5349,2020,183
5350,2003,183
5351,2018,183
5352,2007,183
5353,1997,183
5354,2018,183
5355,2018,183
5356,2007,183
5357,2006,183
5358,2017,183
5359,2013,183
5360,2005,183
5361,2019,183
5362,2009,183
5363,2002,183
5364,2018,183
5365,2003,182
5366,2010,182
5367,2012,182
5368,2013,182
