Rank,University,Lowest Place,Number of Lowest Place
577,Veer Surendra Sai University of Technology,22.0,1
578,CESI École d’ingénieurs - Nanterre,23.0,1
579,City University London,23.0,1
580,FAMU-FSU College of Engineering,23.0,1
581,HAN University of Applied Sciences,23.0,1
582,Hiroshima University,23.0,1
583,Indian Institute of Technology Roorkee,23.0,1
584,MCT's Rajiv Gandhi Institute of Technology,23.0,1
585,National Institute of Technology - Kurukshetra,23.0,1
586,Reykjavík University,23.0,1
587,Universidade Estadual do Oeste do Paraná,23.0,1
588,University of Manchester,23.0,1
589,University of Oulu,23.0,1
590,University of Perugia,23.0,1
591,University of Salford,23.0,1
592,Dr. D. Y. Patil Institute Of Engineering and Technology,24.0,2
593,Amrita School of Engineering Coimbatore,24.0,1
594,Ataturk University,24.0,1
595,Dr. Mahalingam College of Engineering and Technology,24.0,1
596,Fukui University of Technology,24.0,1
597,G.V.Acharya Institute of Engineering &amp; Technology,24.0,1
598,Hochschule Offenburg,24.0,1
599,K L University,24.0,1
600,Lafayette College,24.0,1
601,Moscow State Automobile &amp; Road Technical University - MADI,24.0,1
602,Nagesh Karajagi Orchid College Of Engineering &amp; Technology,24.0,1
603,Niigata University,24.0,1
604,Okayama University of Science,24.0,1
605,Southern Illinois University Edwardsville,24.0,1
606,United States Air Force Academy,24.0,1
607,Universidade Federal de Campina Grande,24.0,1
608,University of Southern Denmark,24.0,1
609,Chulalongkorn University,25.0,1
610,Universidad Nacional Autónoma de México,25.0,1
611,Universidad Tecnológica de Pereira,25.0,1
612,Universiti Teknologi Petronas,25.0,1
613,University of Hawaii at Manoa,25.0,1
614,University of Leicester,25.0,1
615,University of Ljubljana,25.0,1
616,University of Messina,25.0,1
617,University of Valladolid,25.0,1
618,Vidyavardhini's College of Engineering and Technology,25.0,1
619,Aichi Institute of Technology,26.0,1
620,Berlin School of Economics,26.0,1
621,Birla Institute of Technology &amp; Science  Pilani,26.0,1
622,Sri Venkateswara College of Engineering,26.0,1
623,Ufa State Aviation Technical University,26.0,1
624,Universidad Autónoma del Estado de México,26.0,1
625,University of Texas at San Antonio,26.0,1
626,Arizona State University,27.0,2
627,Escola de Engenharia de Lorena da Universidade de São Paulo,27.0,2
628,Embry-Riddle Aeronautical University,27.0,1
629,Georgia Southern University,27.0,1
630,Grand Valley State University,27.0,1
631,M.H. Saboo Siddik College of Engineering,27.0,1
632,Polytechnic University of Puerto Rico,27.0,1
633,San Diego State University,27.0,1
634,Universidad LaSalle,27.0,1
635,Universitat de Girona,27.0,1
636,University of Hull,27.0,1
637,University of Kentucky,27.0,1
638,University of North Florida,27.0,1
639,Arab Academy for Science Technology &amp; Maritime Transport (AASTMT),28.0,1
640,Beijing Institute of Technology,28.0,1
641,ESTACA - Paris-Saclay (Ecole Supérieure des Techniques Aéronautiques et de Construction Automobile),28.0,1
642,National Taipei University of Technology,28.0,1
643,Saitama University,28.0,1
644,Technological Educational Institute of Western Macedonia,28.0,1
645,UniSALESIANO Araçatuba,28.0,1
646,Universidad Iberoamericana,28.0,1
647,University of Wyoming,28.0,1
648,Xiamen University of Technology,28.0,1
649,Chiba Institute of Technology,29.0,1
650,Newcastle University,29.0,1
651,Rajarambapu Institute of Technology,29.0,1
652,RMD Sinhgad School of Engineering,29.0,1
653,SRM Institute of Science and Technology - Ramapuram,29.0,1
654,Universiti Teknologi MARA,29.0,1
655,Rajarshi Shahu College Of Engineering,30.0,1
656,Tokyo Metropolitan University,30.0,1
657,Université de Versailles-Saint-Quentin-en-Yvelines,30.0,1
658,Belgorod state technological university named after V. G. Shukhov,31.0,1
659,Hunan University,31.0,1
660,Imperial College London,31.0,1
661,Koblenz University of Applied Science,31.0,1
662,Shanghai Jiao Tong University,31.0,1
663,University of Surrey,31.0,1
664,University of Toyama,31.0,1
665,Université du Québec à Chicoutimi,31.0,1
666,Washington State University,31.0,1
667,Østfold University College,31.0,1
668,DHA Suffa University,32.0,1
669,TKM  College of Engineering,32.0,1
670,Universidade Paulista - Campinas - Campus II,32.0,1
671,Universitatea Politehnica Timișoara,32.0,1
672,University of Agder,32.0,1
673,University of Colorado Denver,32.0,1
674,Ain Shams University,33.0,1
675,Hacettepe University,33.0,1
676,Hanze University of Applied Sciences Groningen,33.0,1
677,Kakatiya Institute of Technology and Science Warangal,33.0,1
678,Korea University of Technology and Education,33.0,1
679,National Institute of Technology - Karnataka,33.0,1
680,Tyumen Industrial University,33.0,1
681,Universidad Panamericana Sede México,33.0,1
682,University of Delhi,33.0,1
683,University of Virginia,33.0,1
684,Indira Gandhi Delhi Technical University for Women,34.0,1
685,Karel de Grote University College,34.0,1
686,Southern Taiwan University of Technology,34.0,1
687,Technische Universität Ilmenau,34.0,1
688,Thai-Nichi Institute of Technology,34.0,1
689,Amrutvahini College Of Engineering Sangamner,35.0,1
690,Bhartiya Institute of Engineering and Technology,35.0,1
691,Fachhochschule Frankfurt am Main,35.0,1
692,Sanyo-Onoda City University at Tokyo University of Science,35.0,1
693,Sepuluh Nopember Institute of Technology,35.0,1
694,Tottori University,35.0,1
695,University of California Santa Barbara,35.0,1
696,Vasavi College of Engineering,35.0,1
