uni,date,event,total
University of Texas at San Antonio,2019,Lincoln,147
Toyota Technical College Nagoya,2017,Japan,147
Ruhr-Universität Bochum,2019,Germany,147
Ecole Nationale d'Ingénieurs de Metz,2021,Netherlands,147
Università degli Studi di Roma La Sapienza,2015,Germany,147
University of Colorado at Boulder,2000,Michigan,147
Purdue University - Northwest,2018,Michigan,147
University of South Florida,2017,Michigan,147
University of Central Florida,2005,Michigan,147
Rzeszów University of Technology,2015,United Kingdom,147
Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,2007,United Kingdom,147
Chitkara University Punjab,2016,Czech Republic,147
Southern Illinois University Edwardsville,2009,Michigan,147
Technische Universität Dortmund,2011,Germany,147
University of Maribor,2019,Spain,147
University of Texas at San Antonio,2012,Lincoln,146
Università degli Studi di Roma La Sapienza,2007,Italy,146
Universidade Paulista,2009,Brasil,146
Southern Illinois University Carbondale,2000,Michigan,146
Birla Institute of Technology &amp; Science  Pilani,2015,Italy,146
Sojo University,2013,Japan,146
Escola Politècnica Superior d'Enginyeria de Vilanova i la Geltrú UPC,2017,Spain,146
University of Texas at San Antonio,2018,Lincoln,146
University of Technology Sydney,2003,Australia,146
University of Rijeka,2022,Alpe Adria,146
Escuela Superior de Ingeniería Automotriz (ESIA) Tlalnepa,2008,California,146
California State University Fullerton,2018,Michigan,146
Waseda University,2007,Japan,146
Honda Technical College Kansai,2012,Lincoln,146
University Carlos III of Madrid,2017,Spain,146
DHA Suffa University,2016,Australia,146
SRM Institute of Science and Technology NCR Campus,2018,India,146
Hochschule Heilbronn,2019,Austria,146
Portland State University,2015,Lincoln,146
Nelson Mandela Metropolitan University,2011,Germany,146
Hunan University,2008,California,146
Western Michigan University,2013,Michigan,146
Federal University of Paraíba,2015,Brasil,146
Gdańsk University of Technology,2022,Germany,146
Rajarambapu Institute of Technology,2018,India,146
University of Portsmouth,2018,United Kingdom,145
Dwarkadas. J. Sanghvi College of Engineering,2014,Germany,145
Hiroshima University,2011,Japan,145
University of Illinois at Chicago,2010,Michigan,145
Vidyavardhini's College of Engineering and Technology,2019,India,145
Polytechnic University of Puerto Rico,2012,Lincoln,145
Deakin University,2002,Australia,145
University of Perugia,2019,Italy,145
University of Alabama at Birmingham,2007,California,145
University of Leeds,2019,United Kingdom,145
Bradley University,2014,Michigan,145
Ferris State University,2011,Michigan,145
Polo Universitario de Volta Redonda - Universidade Federal Fluminense,2016,Brasil,145
AISSMS (All India Shri Shivaji Memorial Society's) College of Engineering,2019,India,144
Universidad Politécnica de Cartagena,2012,United Kingdom,144
Technische Universität Dortmund,2017,Austria,144
Università della Calabria,2008,Italy,144
Technische Hochschule Lübeck,2022,Netherlands,144
North Dakota State University,2014,Michigan,144
Dalhousie University,2010,Michigan,144
University of Huddersfield,2010,United Kingdom,144
Monroe County Community College,2007,Michigan,144
Universitatea Transilvania din Braşov,2014,United Kingdom,144
Universidad Iberoamericana,2006,California,144
TECNUN - University of Navarra,2009,Germany,144
Amrita School of Engineering Coimbatore,2018,India,144
Universidad Autónoma del Estado de México,2019,Michigan,144
Peoples' Friendship University of Russia,2016,East,144
Technische Universität Dortmund,2019,Netherlands,143
Hacettepe University,2018,United Kingdom,143
Politecnico di Bari,2022,Italy,143
University of New Hampshire,2018,Michigan,143
Thapar Institute of Engineering and Technology,2019,Lincoln,143
Drexel University,1997,Michigan,143
Colorado Mesa University,2015,Michigan,143
São Paulo State University - UNESP - Bauru,2016,Brasil,143
Ain Shams University,2014,United Kingdom,143
Technische Universität Kaiserslautern,2010,Germany,143
Cairo University,2012,United Kingdom,143
Oregon Institute of Technology,2022,Michigan,143
Ostbayerische Technische Hochschule Regensburg,2010,United Kingdom,143
Budapest University of Technology and Economics,2019,East,143
UNESP - Campus de Ilha Solteira,2013,Brasil,142
University of Colorado at Boulder,2022,Michigan,142
KTH Royal Institute of Technology,2009,Germany,142
Carleton University,2022,Michigan,142
Curtin University,2009,Australia,142
Faculty of Textile Science &amp; Technology. Shinshu University,2007,Japan,142
Ferris State University,2007,Michigan,142
R.V.College of Engineering,2009,Italy,142
San Diego State University,2008,California,142
Columbia University,2006,Michigan,142
Fr Conceicao Rodrigues College of Engineering,2018,India,142
Columbia University,2004,Michigan,142
Columbia University,2011,California,142
Università degli Studi di Parma,2013,United Kingdom,142
Manipal Academy of Higher Education,2009,United Kingdom,142
University of Regina,2000,Michigan,142
Universidad Católica Andrés Bello,2006,Michigan,142
Hochschule Mannheim,2010,Germany,142
Syracuse University,2016,Canada,142
James Cook University,2015,Australia,142
Universidade Federal de Santa Catarina,2017,Brasil,142
California State University Los Angeles,2019,Lincoln,142
University of Ulster,2007,United Kingdom,142
University of Miskolc,2018,Austria,141
Polytechnic University of Puerto Rico,2019,Michigan,141
Federation University Australia,2008,Australia,141
Kalinga Institute of Industrial Technology,2018,India,141
FAMU-FSU College of Engineering,2002,Michigan,141
The University of Newcastle,2003,Australia,141
Sanyo-Onoda City University at Tokyo University of Science,2013,Japan,141
Clarkson University,2016,Michigan,141
Karlstad University,2018,Germany,141
Iowa State University,1999,Michigan,141
Technische Universität Dortmund,2016,Germany,141
Queen's University,1997,Michigan,141
Universidade Estadual Paulista - Guaratinguetá,2010,Brasil,141
University Of Hertfordshire,2014,Germany,141
University of Hawaii at Manoa,2017,Lincoln,140
Tel Aviv University,2014,Italy,140
Saarland University,2008,United Kingdom,140
Southern Illinois University Carbondale,2012,Michigan,140
University of Sunderland,2018,United Kingdom,140
Polytechnic Institute of Leiria,2015,United Kingdom,140
St. Cloud State University,2015,Michigan,140
Aston University,2006,United Kingdom,140
Universidade Federal Fluminense - Niterói,2012,Brasil,140
Western Michigan University,2016,Lincoln,140
Moscow Polytechnic University,2016,East,140
University of Utah,2006,California,140
Fr Conceicao Rodrigues College of Engineering,2019,India,140
Temple University,2004,Michigan,140
Georgia Institute of Technology,2017,Lincoln,140
Manchester Metropolitan University,2017,United Kingdom,140
University of California Los Angeles,2014,Lincoln,140
Politecnico di Bari,2022,Germany,140
Université du Québec à Chicoutimi,2000,Michigan,139
Instituto Tecnológico de Chihuahua,2002,Michigan,139
Polo Universitario de Volta Redonda - Universidade Federal Fluminense,2017,Brasil,139
Chulalongkorn University,2016,Japan,139
City University London,2014,United Kingdom,139
Seikei University,2016,Japan,139
Universidad Autónoma del Estado de México,2016,Michigan,139
Indian Institute of Technology Kharagpur,2013,United Kingdom,139
Warsaw University of Technology,2013,Hungary,139
Oklahoma State University - Stillwater,2010,California,139
Universidad Nacional Autónoma de México,2018,Michigan,139
St. Cloud State University,2017,Michigan,139
University of Illinois at Chicago,2013,Michigan,139
St. Cloud State University,2019,Lincoln,139
Texas Tech University,2017,Michigan,139
South Dakota State University,2001,Michigan,139
University of Utah,2016,Michigan,139
Colorado School of Mines,2013,Lincoln,139
Warsaw University of Technology,2014,United Kingdom,139
Escola Politècnica Superior d'Enginyeria de Manresa,2021,Netherlands,139
Brunel University London,2008,United Kingdom,139
Universitat Politécnica de Valéncia,2014,Germany,138
University of Calgary,2000,Michigan,138
Saint Louis University,2019,Lincoln,138
Moscow Polytechnic University,2011,Austria,138
Ferris State University,2008,Michigan,138
University of Sussex,2009,United Kingdom,138
Monash University,2004,Australia,138
University of Adelaide,2001,Australia,138
University of Sunderland,2010,United Kingdom,138
Moscow State Automobile &amp; Road Technical University - MADI,2017,Germany,138
Sheffield Hallam University,2015,United Kingdom,138
University of South Carolina,1995,Michigan,138
Aston University,2015,United Kingdom,137
Université du Québec à Chicoutimi,2004,Michigan,137
University of Technology Sydney,2007,Australia,137
National Institute of Technology - Karnataka,2019,India,137
Syracuse University,2019,Lincoln,137
Ruhr-Universität Bochum,2019,Netherlands,137
Centro integrado de Manufatura e Tecnologia - SENAICIMATEC,2008,Brasil,137
Old Dominion University,2002,Michigan,137
University of Southampton,2015,United Kingdom,137
Fachhochschule Dortmund,2016,United Kingdom,137
University of North Dakota,2008,Michigan,137
University of Wolverhampton,2015,United Kingdom,137
University of New Hampshire,2019,Michigan,137
Tottori University,2013,Japan,137
Shanghai Jiao Tong University,2008,California,137
Hochschule Niederrhein,2022,Netherlands,137
Monroe County Community College,1999,Michigan,137
Universidad del Zulia,2010,Michigan,137
Setsunan University,2016,Japan,137
Sanyo-Onoda City University at Tokyo University of Science,2012,Japan,137
Cedarville University,2004,Michigan,137
Lafayette College,2016,Michigan,137
Central Michigan University,2022,Michigan,137
Washington State University,2016,Michigan,136
City University London,2007,United Kingdom,136
Colorado State University,1999,Michigan,136
University of Arizona,2017,Lincoln,136
Hochschule Heilbronn,2016,Austria,136
University of Leeds,2014,United Kingdom,136
Nagesh Karajagi Orchid College Of Engineering &amp; Technology,2018,India,136
University of Evansville,2015,Michigan,136
Aston University,2016,United Kingdom,136
University of Fukui,2009,Japan,136
University of Leeds,2017,United Kingdom,136
University of Delhi,2004,United Kingdom,136
RMD Sinhgad School of Engineering,2020,India,136
National Institute of Technology - Rourkela,2019,India,136
University of Kansas,1994,Michigan,136
Tokyo Metropolitan University,2008,Japan,136
University of Mostar,2015,Czech Republic,136
United States Naval Academy,2000,Michigan,135
Università degli Studi di Napoli Federico II,2021,Netherlands,135
Meisei University,2008,Japan,135
Temple University,2015,Canada,135
Ryerson University,2001,Michigan,135
Thapar Institute of Engineering and Technology,2019,India,135
Universitat Jaume I,2021,Spain,135
University College London,2016,United Kingdom,135
Fachhochschule Konstanz,2012,Germany,135
Universidade Federal do Rio Grande do Sul,2013,Brasil,135
D. Y. Patil College of Engineering &amp; Technology Kasaba Bawada Kolhapur ,2018,India,135
Carleton University,2013,Michigan,135
University of Wisconsin-Platteville,2017,Lincoln,135
Universidad Interamericana de Puerto Rico,2007,California,135
Sri Venkateswara College of Engineering,2015,Italy,135
Galgotias University,2019,India,135
DIT University,2018,India,135
Saitama Institute of Technology,2011,Japan,134
University of Hawaii at Manoa,2007,California,134
Thai-Nichi Institute of Technology,2012,Japan,134
Saitama University,2017,Japan,134
Kurume Institute of Technology,2007,Japan,134
Milwaukee School of Engineering,1995,Michigan,134
Universidad Central de Venezuela,2009,Michigan,134
University of Evansville,2001,Michigan,134
University of Guelph,2016,Michigan,134
Coventry University,2016,United Kingdom,134
Recinto Universitario de Mayagüez,2014,Michigan,134
Thapar Institute of Engineering and Technology,2008,United Kingdom,134
Polytechnic University of Puerto Rico,2010,California,134
University of Southern California,1999,Michigan,133
Michigan Technological University,1996,Michigan,133
University of Hull,2018,United Kingdom,133
Colorado State University,2019,Lincoln,133
Universidad de Vigo,2015,United Kingdom,133
Cleveland State University,1994,Michigan,133
Fachhochschule Aachen,2008,Germany,133
Gdańsk University of Technology,2019,Italy,133
Instituto Tecnológico de Chihuahua,2013,Lincoln,133
Queen's University Belfast,2016,United Kingdom,133
University of Manitoba,2010,Michigan,133
Saint Louis University,2005,Michigan,133
Kyoto Institute of Technology,2007,Japan,133
Bauman Moscow State Technical University,2019,Czech Republic,133
University of Maribor,2011,Germany,133
Fachhochschule Konstanz,2007,United Kingdom,132
Hokkaido University,2016,Japan,132
Yeungnam University College,2014,Michigan,132
Universidad de Vigo,2015,Spain,132
Indian Institute of Technology Dhanbad,2019,India,132
Lakehead University,2017,Michigan,132
Dalhousie University,2018,Michigan,132
Iowa State University,1996,Michigan,132
Università degli Studi di Parma,2009,Italy,132
Thapar Institute of Engineering and Technology,2013,Germany,132
University of Saskatchewan,2009,California,132
University of Seville,2014,Germany,132
University of Alabama,2013,Michigan,131
University of Evansville,2005,Michigan,131
Fr Conceicao Rodrigues College of Engineering,2020,India,131
Kumaraguru College of Technology,2020,India,131
University of the Basque Country,2010,United Kingdom,131
K L University,2018,India,131
University of Colorado at Boulder,1996,Michigan,131
University of Manitoba,1999,Michigan,131
University of Delhi,2003,United Kingdom,131
Florida Institute of Technology,2018,Michigan,131
University of Perugia,2018,Spain,130
Yeungnam University College,2008,United Kingdom,130
Ryerson University,2010,Michigan,130
Hochschule Niederrhein,2015,Germany,130
University of Portsmouth,2013,United Kingdom,130
Kennesaw State University,2009,Michigan,130
Swansea University,2015,United Kingdom,130
Victoria University Australia,2006,Australia,130
Aston University,2019,United Kingdom,130
Duke University,1995,Michigan,130
United States Air Force Academy,2009,Michigan,130
Aston University,2017,United Kingdom,130
Colorado School of Mines,2000,Michigan,130
Ceylon-German Technical Training Institute,2009,Japan,129
Stevens Institute of Technology,2013,Michigan,129
York College of Pennsylvania,2022,Michigan,129
Helmut Schmidt Universität  Universität der Bundeswehr Hamburg,2021,Germany,129
Universität der Bundeswehr München,2015,Italy,129
FH Campus Wien,2017,Austria,129
Yeungnam University College,2014,United Kingdom,129
Bhartiya Institute of Engineering and Technology,2016,Italy,129
Fachhochschule Dortmund,2022,Germany,129
Universidad de Castilla-La Mancha,2015,Spain,129
Hochschule Darmstadt UAS,2009,Italy,129
University of Strathclyde,2016,Germany,129
Universidad Autónoma del Estado de México,2008,Michigan,129
Amity School of Engineering and Technology,2019,India,129
Universidade Federal de Santa Catarina,2014,Brasil,129
University of Seville,2013,Spain,129
Akita Prefectural University,2008,Japan,129
Tennessee Technological University,2003,Michigan,129
University of Guelph,2011,California,129
Thapar Institute of Engineering and Technology,2009,United Kingdom,128
Victoria University Australia,2005,Australia,128
Tennessee Technological University,2014,Michigan,128
Université du Québec à Trois-Rivières,2009,Michigan,128
United States Air Force Academy,2006,Michigan,128
University of Sunderland,2005,United Kingdom,128
Otto-von-Guericke-Universität Magdeburg,2013,Germany,128
Old Dominion University,2013,Michigan,128
Oklahoma State University - Stillwater,2017,Lincoln,128
Instituto Superior de Engenharia de Coimbra,2008,United Kingdom,128
North Dakota State University,2009,Michigan,128
University of Stavanger,2013,United Kingdom,128
Korea University of Technology and Education,2009,California,128
TAMK University of Applied Sciences,2021,Austria,128
University of California Davis,2008,California,128
Universidade Estadual Paulista - Guaratinguetá,2015,Brasil,128
University of Maribor,2021,Netherlands,128
University of California Irvine,2008,California,128
University of California Irvine,2002,Michigan,128
University of Wolverhampton,2018,United Kingdom,127
National Institute of Technology - Jamshedpur,2010,Australia,127
Moscow State Automobile &amp; Road Technical University - MADI,2014,Germany,127
Universidad de Vigo,2022,East,127
Universidad Nacional Autónoma de México,2017,Austria,127
Southern Illinois University Edwardsville,2016,Michigan,127
Sojo University,2017,Japan,127
Chitkara University Punjab,2008,Australia,127
Peoples' Friendship University of Russia,2012,Italy,127
University of Cambridge,2014,United Kingdom,127
Universität der Bundeswehr München,2017,East,127
University of Wolverhampton,2019,United Kingdom,127
Indian Institute of Technology Delhi,2012,United Kingdom,127
University of Zagreb,2017,Germany,127
University of Sunderland,2019,United Kingdom,127
John von Neumann University,2016,East,127
Karlstad University,2008,United Kingdom,127
Faculty of Textile Science &amp; Technology. Shinshu University,2016,Japan,126
FH Campus Wien,2014,Austria,126
Tongji University,2010,Japan,126
California State University Fullerton,2013,Lincoln,126
SRM Institute of Science and Technology - Kattankulathur,2015,Germany,126
Meisei University,2016,Japan,126
Old Dominion University,2015,Michigan,126
Florida International University,2015,Michigan,126
Instituto Mauá de Tecnologia,2009,Brasil,126
Oakland University,1998,Michigan,126
Temple University,2006,Michigan,126
Université du Québec à Trois-Rivières,2011,Michigan,126
Lawrence Technological University,2014,Michigan,126
Liaoning University of Technology,2015,Japan,126
Southern Illinois University Edwardsville,2010,Michigan,126
Teikyo University,2017,Japan,126
University of Perugia,2017,Italy,126
Louisiana State University,2011,Michigan,126
Middle East Technical University,2018,Italy,126
Bergische Universität Wuppertal,2019,Netherlands,126
Brown University,1994,Michigan,126
University of California Riverside,2015,Lincoln,126
Helwan University (‏جامعة حلوان),2012,United Kingdom,126
Rajendra Mane College of Engineering and Technology,2020,India,126
Sheffield Hallam University,2014,United Kingdom,126
Thapar Institute of Engineering and Technology,2014,Germany,126
University of Manitoba,2002,Michigan,126
Gadjah Mada University,2013,Japan,125
Sojo University,2019,Japan,125
Universidad Rey Juan Carlos,2017,Spain,125
Universidade Federal de Santa Catarina,2016,Brasil,125
Veer Surendra Sai University of Technology,2019,India,125
University of California San Diego,1998,Michigan,125
Leibniz Universität Hannover,2010,United Kingdom,125
Cherepovets State University,2019,Italy,125
University of Utah,1995,Michigan,125
Shizuoka Professional College of Automobile Technology,2018,Japan,125
Aalborg University,2007,Germany,125
Texas Tech University,2022,Michigan,125
Massachusetts Institute of Technology,2003,Michigan,125
Slovak University of Technology in Bratislava,2012,Austria,125
University of Central Florida,2010,Michigan,125
Shizuoka University,2013,Japan,124
Universitatea Transilvania din Braşov,2019,United Kingdom,124
University of Oklahoma,2015,Lincoln,124
University of California Los Angeles,2016,Lincoln,124
Sebelas Maret University,2018,Japan,124
Portland State University,2002,Michigan,124
University of Derby,2015,United Kingdom,124
College of Science and Technology Nihon University,2015,Japan,124
Pittsburg State University,2015,Lincoln,124
Universidad Europea de Madrid,2018,Spain,124
Yeungnam University College,2001,Michigan,124
Universidade Federal de Itajubá - Itajubá,2015,Brasil,124
Saarland University,2007,Germany,124
Escola de Engenharia de Lorena da Universidade de São Paulo,2017,Brasil,124
Kakatiya Institute of Technology and Science Warangal,2020,India,124
Otto-von-Guericke-Universität Magdeburg,2014,Italy,124
Osaka Sangyo University,2007,Japan,124
Indian Institute of Technology Kharagpur,2011,United Kingdom,124
Ryerson University,2010,United Kingdom,124
Washington University in St. Louis,1996,Michigan,124
James Cook University,2014,Australia,124
Cairo University,2018,United Kingdom,124
Aichi Institute of Technology,2016,Japan,124
Universidade Estadual Paulista - Guaratinguetá,2011,Brasil,123
Technische Universität Dortmund,2007,Germany,123
Shizuoka Professional College of Automobile Technology,2015,Japan,123
Universidade Tecnológica Federal do Paraná,2011,Brasil,123
Universidade Federal de São Carlos,2013,Brasil,123
The National Institute of Engineering Mysore,2019,India,123
University of Louisville,2004,Michigan,123
École nationale d'aérotechnique,2004,Michigan,122
HAN University of Applied Sciences,2019,Netherlands,122
University of Split,2014,Hungary,122
Belgorod state technological university named after V. G. Shukhov,2018,East,122
The University of Tokyo,2018,Japan,122
University of California Davis,1999,Michigan,122
University of Brighton,2019,United Kingdom,122
Universitatea Transilvania din Braşov,2016,United Kingdom,122
DIT University,2019,India,122
University of Massachusetts Lowell,2010,Michigan,122
University of Waikato,2009,Australia,122
College of Industrial Technology Nihon University,2008,Japan,122
Centro Federal de Educação Tecnológica de Minas Gerais,2007,Brasil,122
Universidad Europea de Madrid,2013,United Kingdom,122
Oakland University,2008,Michigan,122
Waseda University,2015,Japan,122
VIT University - Vellore,2017,Germany,122
Hochschule Heilbronn,2012,Hungary,122
University of Massachusetts Lowell,2018,Lincoln,122
University of Hull,2013,United Kingdom,122
Stevens Institute of Technology,2009,Michigan,121
Technische Hochschule Lübeck,2022,Austria,121
Yıldız Technical University,2015,United Kingdom,121
Universitat Jaume I,2017,Spain,121
Kogakuin University,2007,Japan,121
Białystok University of Technology,2014,United Kingdom,121
Chitkara University Punjab,2018,India,121
University of Portsmouth,2016,Spain,121
Honda Technical College Kansai,2015,Japan,121
Arizona State University,2016,Lincoln,121
University of Salford,2021,United Kingdom,121
Kanazawa University,2012,Japan,121
Clarkson University,1996,Michigan,121
University of St. Thomas,2013,Michigan,120
University of Leeds,1997,Michigan,120
Kogakuin University,2009,Japan,120
Centro integrado de Manufatura e Tecnologia - SENAICIMATEC,2009,Brasil,120
Honda Technical College Kansai,2011,Japan,120
Universidade Federal Fluminense - Niterói,2010,Brasil,120
K L University,2019,India,120
Warsaw University of Technology,2014,Hungary,120
Setsunan University,2014,Japan,120
D.Y. Patil School of Engineering Academy Ambi,2018,India,120
College of Industrial Technology Nihon University,2004,Japan,120
City University London,2016,United Kingdom,120
Université de Sherbrooke,2006,Michigan,120
Otto-von-Guericke-Universität Magdeburg,2011,Germany,120
University of South Australia,2005,Australia,120
University of Utah,1996,Michigan,120
Rzeszów University of Technology,2019,Netherlands,119
University of Fukui,2010,Japan,119
Northern Illinois University,2022,Michigan,119
Honda Technical College Kanto,2016,Japan,119
Indian Institute of Technology Delhi,2009,United Kingdom,119
University of Kentucky,2002,Michigan,119
Universitatea Transilvania din Braşov,2011,United Kingdom,119
Ural State University of Railway Transport,2015,Hungary,119
University of Aberdeen,2011,United Kingdom,119
Gadjah Mada University,2012,Japan,119
Sri Venkateswara College of Engineering,2020,India,119
Stevens Institute of Technology,2004,Michigan,119
University of Louisville,2016,Lincoln,119
Universidad Central de Venezuela,2006,Michigan,118
Osaka Prefecture University,2011,Japan,118
Universidade Federal De Lavras,2017,Brasil,118
Pennsylvania State University,2002,Michigan,118
Sheffield Hallam University,2003,United Kingdom,118
Universidade Comunitária Regional de Chapecó,2014,Brasil,118
Gdańsk University of Technology,2021,Czech Republic,118
University of the West of Scotland,2003,United Kingdom,118
University of Windsor,2003,Michigan,118
D.Y. Patil School of Engineering Academy Ambi,2019,India,118
Queen Mary University of London,2017,United Kingdom,118
Moscow State Automobile &amp; Road Technical University - MADI,2014,Michigan,118
Hochschule Heilbronn,2015,Austria,118
Kinki University,2017,Japan,118
University of Cambridge,2012,United Kingdom,118
California State University Fullerton,2010,California,117
Meisei University,2014,Japan,117
Technische Universität Dortmund,2019,Austria,117
Ramaiah Institute of Technology,2008,Australia,117
Tongji University,2009,Japan,117
Kurume Institute of Technology,2014,Japan,117
Vanderbilt University,2000,Michigan,117
Doshisha University,2005,Japan,117
Penn State Harrisburg,2017,Michigan,117
Hacettepe University,2017,United Kingdom,117
Universidade Comunitária Regional de Chapecó,2015,Brasil,117
Hochschule für Angewandte Wissenschaften Hamburg,2021,Austria,117
Ryerson University,2011,United Kingdom,116
Saint Louis University,2007,Michigan,116
Sinhgad College of Engineering Vadgaon,2013,Lincoln,116
Brandenburgische Technische Universität Cottbus,2014,Germany,116
Keio University,2003,Japan,116
Rajarshi Shahu College Of Engineering,2018,India,116
K. J. Somaiya College of Engineering,2007,Germany,116
Veer Surendra Sai University of Technology,2018,India,116
Instituto Tecnológico de Chihuahua,2009,California,116
Brandenburgische Technische Universität Cottbus,2008,Germany,116
University of Cambridge,2010,Germany,116
Peoples' Friendship University of Russia,2017,East,116
Universidade Federal da Bahia,2012,Brasil,116
University of Windsor,2000,Michigan,116
Birla Institute of Technology &amp; Science  Pilani,2014,Italy,115
Kobe University,2009,Japan,115
Leibniz Universität Hannover,2009,Germany,115
Peoples' Friendship University of Russia,2017,Germany,115
Universitatea Transilvania din Braşov,2010,United Kingdom,115
Vishwakarma Institute of Information Technology,2022,Austria,115
Indian Institute of Technology Kharagpur,2019,India,115
Aalborg University,2018,Germany,115
Oakland University,1999,Michigan,115
National Institute of Technology - Rourkela,2018,India,115
Hokkaido University,2015,Japan,115
Universidad Autónoma del Estado de México,2022,Michigan,115
Gheorghe Asachi Technical University of Iaşi,2022,Italy,115
Indira Gandhi Delhi Technical University for Women,2020,India,115
Universidad Rey Juan Carlos,2021,Netherlands,115
Chitkara University Punjab,2017,United Kingdom,114
University of Sheffield,2010,United Kingdom,114
Northern Illinois University,2018,Lincoln,114
Universidad Francisco de Vitoria,2022,United Kingdom,114
University of Burgundy - ISAT,2008,United Kingdom,114
City University London,2011,United Kingdom,114
Faculty of Textile Science &amp; Technology. Shinshu University,2005,Japan,114
Amrutvahini College Of Engineering Sangamner,2019,India,114
Hochschule für Technik und Wirtschaft Mittweida,2010,United Kingdom,114
University of Technology Sydney,2009,Australia,114
Kochi University of Technology,2008,Japan,114
National Tsing Hua University,2016,Japan,114
Universidade Estadual Paulista - Guaratinguetá,2017,Brasil,114
Duke University,1997,Michigan,114
Indian Institute of Technology Madras,2012,United Kingdom,114
Kettering University,1997,Michigan,114
Çukurova University,2018,Italy,114
University of Portsmouth,2012,United Kingdom,114
Kansas State University,2003,Michigan,113
Netaji Subhas Institute of Technology,2022,India,113
Indian Institute of Technology Madras,2013,Germany,113
Lokmanya Tilak College of Engineering,2019,India,113
California State University Los Angeles,2022,Michigan,113
University of Glasgow,2011,United Kingdom,113
Sanyo-Onoda City University at Tokyo University of Science,2014,Japan,113
University of Burgundy - ISAT,2005,United Kingdom,113
Fachhochschule Dortmund,2016,Germany,113
Temple University,1998,Michigan,113
California State Polytechnic University Pomona,1994,Michigan,113
Kennesaw State University,1995,Michigan,113
Universidad Metropolitana,2016,Michigan,113
Birmingham City University,2018,United Kingdom,113
Università degli Studi di Roma La Sapienza,2017,Germany,113
Sinhgad Academy Of Engineering,2018,India,113
Niigata University,2010,Japan,113
Hochschule Darmstadt UAS,2012,Germany,113
Universidad Panamericana Sede México,2016,Lincoln,112
University of Glasgow,2016,United Kingdom,112
Centro integrado de Manufatura e Tecnologia - SENAICIMATEC,2011,Brasil,112
University of Utah,2012,Lincoln,112
University of Edinburgh,2017,United Kingdom,112
Universidad Politécnica de Cartagena,2010,United Kingdom,112
University of Queensland,2007,Australia,112
Alexandria University,2013,Germany,112
Fukui University of Technology,2005,Japan,112
Gheorghe Asachi Technical University of Iaşi,2016,Italy,112
Università degli Studi della Tuscia,2009,Italy,112
IMT Nord Europe - Douai,2003,United Kingdom,111
São Paulo State University - UNESP - Bauru,2015,Brasil,111
Georgia Southern University,2003,Michigan,111
Hochschule Offenburg,2006,Germany,111
California State University Los Angeles,2016,Lincoln,111
University of California San Diego,2009,California,111
Amrita School of Engineering Coimbatore,2011,Austria,111
Federal University of Paraíba,2017,Brasil,111
University of Stavanger,2012,United Kingdom,111
University of California Davis,2010,California,111
Auburn University,1999,Michigan,111
Tottori University,2016,Japan,111
Nippon Institute of Technology,2008,Japan,111
Syracuse University,2017,Lincoln,111
Université de Sherbrooke,2022,Michigan,110
University of Nottingham,2008,United Kingdom,110
University of Dundee,2016,United Kingdom,110
University of California Davis,2011,California,110
Honda Technical College Kanto,2015,Japan,110
Louisiana State University,2009,Michigan,110
Tottori University,2012,Japan,110
Wayne State University,2007,Michigan,110
University of St. Thomas,2016,Lincoln,110
Western University,1996,Michigan,110
University of Minnesota Twin Cities,1996,Michigan,110
Universidad de las Fuerzas Armadas - ESPE,2011,Germany,110
Universidade Federal de Campina Grande,2017,Brasil,110
Università del Salento,2011,Germany,110
M.H. Saboo Siddik College of Engineering,2011,Austria,110
University of Leeds,2016,United Kingdom,110
University of Edinburgh,2016,United Kingdom,109
Universidade de Brasília,2012,Brasil,109
Technische Universität Dortmund,2010,Italy,109
University of British Columbia - Vancouver,2011,California,109
Mansoura University,2016,United Kingdom,109
Fachhochschule Aachen,2009,United Kingdom,109
University of Agder,2018,United Kingdom,109
University of Cadiz,2021,Czech Republic,109
Lawrence Technological University,1994,Michigan,109
Hochschule Offenburg,2005,United Kingdom,109
Chitkara University Punjab,2015,United Kingdom,109
Curtin University,2006,Australia,109
Aston University,2014,United Kingdom,108
Odessa Polytechnic National State University,2016,East,108
University of Wisconsin-Platteville,2003,Michigan,108
Helmut Schmidt Universität  Universität der Bundeswehr Hamburg,2019,Germany,108
City University London,2018,United Kingdom,108
University of Hull,2014,United Kingdom,108
NBN Sinhgad School Of Engineering,2019,India,108
Universidade Federal de Santa Maria,2010,Brasil,108
University of Queensland,2010,Australia,108
University of Saskatchewan,2002,Michigan,107
Western Michigan University,2006,Michigan,107
Universidad Europea de Madrid,2022,United Kingdom,107
London South Bank University,2022,United Kingdom,107
Universidad Nacional Autónoma de México,2017,Italy,107
Università degli Studi di Napoli Federico II,2015,Italy,107
Honda Technical College Kansai,2016,Japan,107
University of Central Florida,2006,Michigan,107
University of Exeter,2014,United Kingdom,107
University of California Irvine,2003,Michigan,107
Hochschule Mannheim,2011,Germany,107
Fachhochschule Hannover,2014,Italy,106
California State Polytechnic University Pomona,1997,Michigan,106
Nizhny Novgorod State Technical University,2013,Italy,106
Technological Educational Institute of Western Macedonia,2018,Italy,106
Setsunan University,2010,Japan,106
Honda Technical College Kanto,2011,Japan,106
Middle East Technical University,2019,Germany,106
