Rank,University,Points
700,National Tsing Hua University,32.5
701,Indian Institute of Technology Delhi,32.49
702,University of Hull,32.48
703,Technische Universität Dortmund,32.39
704,FH Campus Wien,32.37
705,Universidad Tecnológica de Pereira,32.3
706,University of Wolverhampton,32.24
707,City University London,32.2
708,Rayat Institute of Engineering and Information Technology,32.2
709,Southern Illinois University Carbondale,32.2
710,University of Utah,32.2
711,University of Northampton,32.05
712,Seoul National University of Science and Technology,31.9
713,Universidade Federal de Itajubá - Itabira,31.88
714,University of Hartford,31.87
715,University of Miskolc,31.86
716,K L University,31.83
717,HAN University of Applied Sciences,31.77
718,University of Toyama,31.73
719,University of California Riverside,31.5
720,Universidad Interamericana de Puerto Rico,31.47
721,University of the West of Scotland,31.36
722,Ferris State University,31.14
723,SRM Institute of Science and Technology - Ramapuram,31.13
724,Temple University,31.11
725,Institute of Technologists,31.04
726,Portland State University,30.99
727,Syracuse University,30.98
728,National Institute of Technology - Jamshedpur,30.97
729,Université de Versailles-Saint-Quentin-en-Yvelines,30.97
730,University of Leicester,30.95
731,Escola Politècnica Superior d'Enginyeria de Vilanova i la Geltrú UPC,30.9
732,Universitat Jaume I,30.9
733,Alexandria University,30.8
734,Bhartiya Institute of Engineering and Technology,30.79
735,Kyushu University,30.78
736,Universidade Federal de Itajubá - Itajubá,30.76
737,University of the Pacific,30.55
738,University of Moratuwa,30.45
739,Akita Prefectural University,30.32
740,Faculty of Textile Science & Technology. Shinshu University,30.31
741,Nitte Meenakshi Institute of Technology,30.27
742,Universidade Tecnológica Federal do Paraná,30.24
743,University of Dundee,30.1
744,Kogakuin University,30.03
745,Tyumen Industrial University,29.99
746,University Institute of Technology RGPV Bhopal,29.92
747,Universidade Federal de Santa Catarina,29.88
748,Southern Taiwan University of Technology,29.87
749,Kurume Institute of Technology,29.82
750,Vasavi College of Engineering,29.75
751,Escuela Superior de Ingeniería Automotriz (ESIA) Tlalnepa,29.73
752,Universidade Independente,29.67
753,Hiroshima Institute of Technology,29.66
754,Hindustan Institute of Technology and Science,29.6
755,University of New Brunswick,29.6
756,Leibniz Universität Hannover,29.57
757,Eskişehir Technical University,29.5
758,Universidad de las Fuerzas Armadas - ESPE,29.46
759,CESI École d’ingénieurs - Nanterre,29.32
760,Dr. Mahalingam College of Engineering and Technology,29.17
761,Fachhochschule Dortmund,29.15
762,Thai-Nichi Institute of Technology,29.08
763,Washington State University,28.89
764,Marquette University,28.79
765,Tokyo Institute of Technology,28.72
766,Escuela Superior de Ingeniería Mecánica y Electrica Unidad Politécnica Ticomán,28.67
767,MGM's Jawaharlal Nehru Engineering College,28.67
768,Hubei University of Automotive Technology,28.47
769,Instituto Politécnico Nacional,28.25
770,CentraleSupélec - Université Paris-Saclay,28.0
771,Okayama University of Science,28.0
772,Bergische Universität Wuppertal,27.91
773,Universidade Federal de Santa Catarina - Joinville,27.84
774,St. Cloud State University,27.73
775,Midwestern State University,27.7
776,Ataturk University,27.66
777,Polytechnic University of Puerto Rico,27.66
