Rank,University,Year,Points
5216,The University of Tokyo,2019,193.0
5217,The University of Michigan-Dearborn,2022,193.0
5218,University of Colorado Denver,2016,193.0
5219,Washington University in St. Louis,2012,193.0
5220,Universidade de Lisboa - Instituto Superior Técnico,2015,193.0
5221,Aalborg University,2006,193.0
5222,Instituto Tecnológico de Chihuahua,1998,193.0
5223,Fachhochschule Joanneum Graz,2004,193.0
5224,Technische Universität Dortmund,2008,193.0
5225,Gifu University,2014,193.0
5226,Iowa State University,2002,193.0
5227,Aston University,2007,193.0
5228,Colorado State University,1996,193.0
5229,Marquette University,1999,193.0
5230,ESTACA - Paris-Saclay (Ecole Supérieure des Techniques Aéronautiques et de Construction Automobile),2016,193.0
5231,California State University Sacramento,1995,193.0
5232,Cooper Union,2013,193.0
5233,Bradley University,2009,192.0
5234,Lawrence Technological University,2012,192.0
5235,VIT University - Vellore,2014,192.0
5236,University of Texas at Austin,2007,192.0
5237,Slovak University of Technology in Bratislava,2013,192.0
5238,Universidade Federal do Rio de Janeiro,2007,192.0
5239,University of California Irvine,2001,192.0
5240,Rutgers The State University of New Jersey,2003,192.0
5241,Rutgers The State University of New Jersey,2007,192.0
5242,University of Puerto Rico,1999,192.0
5243,University of Strathclyde,2001,192.0
5244,Australian National University,2003,192.0
5245,Ruhr-Universität Bochum,2017,192.0
5246,Universidade Federal do Rio Grande do Sul,2017,192.0
5247,Instituto Tecnológico de Chihuahua,2010,192.0
5248,TU Delft,2001,192.0
5249,Iowa State University,2010,192.0
5250,AGH University of Science and Technology,2014,192.0
5251,National University of Sciences and Technology - Karachi,2014,192.0
5252,Central Michigan University,2015,192.0
5253,Université du Québec à Trois-Rivières,2019,192.0
5254,Université de Sherbrooke,2003,192.0
5255,North Dakota State University,2002,191.0
5256,Miami University,2008,191.0
5257,National Institute of Technology - Kurukshetra,2018,191.0
5258,University of Regina,2001,191.0
5259,Universität der Bundeswehr München,2013,191.0
5260,Universidad del Zulia,2006,191.0
5261,University of Strathclyde,2002,191.0
5262,University of Puerto Rico,2002,191.0
5263,University of Dundee,2010,191.0
5264,Università degli Studi di Roma La Sapienza,2008,191.0
5265,University of Victoria,2003,191.0
5266,University of Wisconsin-Platteville,2008,191.0
5267,University of Texas at Austin,2000,191.0
5268,Brown University,2015,190.0
5269,Clemson University,2015,190.0
5270,University of Utah,2001,190.0
5271,Niigata University,2016,190.0
5272,University Carlos III of Madrid,2018,190.0
5273,R.V.College of Engineering,2015,190.0
5274,Universidad Autónoma del Estado de México,2014,190.0
5275,University of Guelph,2008,190.0
5276,Wayne State University,2008,190.0
5277,United States Naval Academy,2001,190.0
5278,Ferris State University,2018,190.0
5279,Northwestern University,2017,190.0
5280,University of Alabama,2015,190.0
5281,Chiba Institute of Technology,2006,190.0
5282,South Dakota School of Mines and Technology,2018,190.0
5283,York College of Pennsylvania,2011,190.0
5284,Oxford Brookes University,2001,190.0
5285,Yeungnam University College,2010,190.0
5286,Aichi Institute of Technology,2014,190.0
5287,Aston University,2008,190.0
5288,University of Burgundy - ISAT,2017,189.0
5289,University of Southern Queensland,2008,189.0
5290,Purdue University - Northwest,2022,189.0
5291,University of Illinois at Chicago,2016,189.0
5292,University of Huddersfield,2003,189.0
5293,National University of Sciences and Technology - Karachi,2019,189.0
5294,Ferris State University,2014,189.0
5295,University of the West of England,2018,189.0
5296,Kyushu Sangyo University,2008,189.0
5297,McGill University,2008,189.0
5298,Poznan University of Technology,2016,189.0
5299,Washington University in St. Louis,2002,188.0
5300,University of Sussex,2005,188.0
5301,Virginia Polytechnic Institute and State University,2022,188.0
5302,Universidade Federal de Itajubá - Itajubá,2013,188.0
5303,Colorado School of Mines,1999,188.0
5304,University of Utah,2000,188.0
5305,Washington State University,2018,188.0
5306,Aalborg University,2019,188.0
5307,G.V.Acharya Institute of Engineering &amp; Technology,2018,188.0
5308,North Dakota State University,2015,188.0
5309,PES University,2018,188.0
5310,Binghamton University,2022,188.0
5311,University of New Mexico,2000,188.0
5312,Lehigh University,2004,188.0
5313,Odessa Polytechnic National State University,2016,188.0
5314,California State University Sacramento,2001,188.0
5315,University of Cambridge,2015,188.0
5316,Colorado School of Mines,2016,188.0
5317,Heriot-Watt University,2011,188.0
5318,University of Western Australia,2010,188.0
5319,Mississippi State University,2019,188.0
5320,University of Wales Trinity Saint David,2002,188.0
5321,Sophia University,2002,188.0
5322,Toyota Technical College Nagoya,2008,187.0
5323,University of New South Wales,2009,187.0
5324,Kurume Institute of Technology,2019,187.0
5325,University of Hartford,2008,187.0
5326,Southern Illinois University Edwardsville,2006,187.0
5327,Colorado School of Mines,2015,187.0
5328,Montana State University - Bozeman,2008,187.0
5329,University of Yamanashi,2007,187.0
5330,Marquette University,2003,187.0
5331,University of Calgary,2001,187.0
5332,K. J. Somaiya College of Engineering,2010,187.0
5333,Ritsumeikan University,2015,187.0
5334,Hochschule für Technik und Wirtschaft Mittweida,2008,187.0
5335,University of Evansville,2018,187.0
5336,Helmut Schmidt Universität  Universität der Bundeswehr Hamburg,2019,187.0
5337,University of Maine,2012,187.0
5338,Reykjavík University,2018,186.0
5339,Universidade Federal da Bahia,2015,186.0
5340,California State University Los Angeles,2014,186.0
5341,Universität der Bundeswehr München,2019,186.0
5342,Victoria University Australia,2013,186.0
5343,University of Southampton,2003,186.0
5344,Universidade Federal de São João del Rei,2016,186.0
5345,University of Saskatchewan,2015,186.0
5346,McMaster University,2000,186.0
5347,Mississippi State University,2006,186.0
5348,Pittsburg State University,2007,186.0
5349,Arab Academy for Science Technology &amp; Maritime Transport (AASTMT),2019,186.0
5350,University of Oulu,2022,186.0
5351,Lakehead University,2013,186.0
5352,Universidad Central de Venezuela,2008,186.0
5353,Northwestern University,2008,186.0
5354,Arizona State University,2018,186.0
5355,Western Washington University,2004,185.0
5356,Universidad de Vigo,2018,185.0
5357,Kunsan National University,2008,185.0
5358,University of Patras,2010,185.0
5359,University of Manchester,2015,185.0
5360,University of Waikato,2010,185.0
5361,Bauman Moscow State Technical University,2013,185.0
5362,Iowa State University,2012,185.0
5363,Belgorod state technological university named after V. G. Shukhov,2019,185.0
5364,Curtin University,2008,185.0
5365,Slovak University of Technology in Bratislava,2014,185.0
5366,Nihon Automobile College,2010,185.0
5367,Université de Sherbrooke,2012,185.0
5368,University of Dundee,2012,185.0
5369,University of Wisconsin-Platteville,2010,185.0
5370,Memorial University of Newfoundland,2002,185.0
5371,Université du Québec à Trois-Rivières,2002,185.0
5372,University of Alberta,2004,185.0
5373,Texas Tech University,2018,184.0
5374,Wichita State University,2007,184.0
5375,Hiroshima Institute of Technology,2012,184.0
5376,Ostfalia University of Applied Sciences,2005,184.0
5377,University of Wolverhampton,2021,184.0
5378,Purdue University - Northwest,2016,184.0
5379,Southern Illinois University Edwardsville,2008,184.0
5380,Universidad Iberoamericana,2007,184.0
5381,University of British Columbia - Vancouver,2002,184.0
5382,Université Laval,2004,184.0
5383,Colorado School of Mines,2014,184.0
5384,Sinhgad College of Engineering Vadgaon,2015,184.0
5385,University of Toledo,1998,184.0
5386,Manipal Academy of Higher Education,2008,184.0
5387,Instituto Mauá de Tecnologia,2012,184.0
5388,Birla Institute of Technology &amp; Science  Pilani,2019,184.0
5389,Lancaster  University,2011,184.0
5390,Luleå University of Technology,2002,184.0
5391,Honda Technical College Kansai,2018,183.0
5392,Swansea University,2017,183.0
5393,Newcastle University,2007,183.0
5394,Kennesaw State University,2019,183.0
5395,Pune Vidyarti Griha's college of Engineering and Technology,2020,183.0
5396,University of Pittsburgh,2018,183.0
5397,University of Manitoba,2003,183.0
5398,Cooper Union,2007,183.0
5399,R.V.College of Engineering,2005,183.0
5400,University of Windsor,2018,183.0
5401,University of Cambridge,2018,183.0
5402,University of Alberta,2002,183.0
5403,University of Arizona,2009,183.0
5404,McMaster University,1997,183.0
5405,University of Texas at Austin,2013,182.0
5406,Swansea University,2002,182.0
5407,Columbia University,2010,182.0
5408,United States Naval Academy,2003,182.0
5409,Vishwakarma Institute of Technology,2019,182.0
5410,Universidad Politécnica de Madrid (UPM),2011,182.0
5411,Tokyo University of Agriculture and Technology,2006,182.0
5412,Coventry University,2003,182.0
5413,California State University Sacramento,2003,182.0
5414,Universidad Nacional Autónoma de México,2014,182.0
5415,University of Puerto Rico,2005,182.0
5416,Instituto Tecnológico de Chihuahua,2000,182.0
5417,Vanderbilt University,2012,182.0
5418,Manipal Academy of Higher Education,2018,182.0
5419,Pellissippi State Community College,2019,181.0
5420,University of Zagreb,2007,181.0
5421,University of Missouri,1996,181.0
5422,Ferris State University,2016,181.0
5423,University of Guelph,2014,181.0
5424,Ulm University of Applied Sciences,2009,181.0
5425,University of Saskatchewan,2010,181.0
5426,Universidade Federal Fluminense - Niterói,2013,181.0
5427,Louisiana State University,2008,181.0
5428,Lawrence Technological University,2011,181.0
5429,Bradley University,2012,181.0
5430,University of Ottawa,2019,181.0
5431,York College of Pennsylvania,2009,181.0
5432,University of Toledo,2001,181.0
5433,University of Central Lancashire,2014,181.0
5434,John von Neumann University,2015,181.0
5435,Cardiff University Wales,2012,181.0
5436,University of Fukui,2007,180.0
5437,UNESP - Campus de Ilha Solteira,2014,180.0
5438,Montana State University - Bozeman,2011,180.0
5439,Escola Politècnica Superior d'Enginyeria de Manresa,2017,180.0
5440,University of Warwick,2008,180.0
5441,Doshisha University,2003,180.0
5442,University of Minnesota Twin Cities,2010,180.0
5443,University of Massachusetts Lowell,2019,180.0
5444,Rutgers The State University of New Jersey,2015,180.0
5445,Kinki University,2009,180.0
5446,Monroe County Community College,2004,180.0
5447,Moscow Polytechnic University,2010,180.0
5448,Lawrence Technological University,2016,180.0
5449,Hochschule für Technik und Wirtschaft Berlin,2011,180.0
5450,King Mongkut's Institute of Technology Ladkrabang,2008,180.0
5451,The University of Texas at Dallas,2019,180.0
5452,Bradley University,2006,180.0
5453,Birmingham City University,2016,180.0
5454,Northwestern University,2013,180.0
5455,Old Dominion University,2008,179.0
5456,University of Wisconsin-Madison,1994,179.0
5457,Lund University,2008,179.0
5458,Universidad Politécnica de Madrid (UPM),2012,179.0
5459,Aligarh Muslim University,2020,179.0
5460,University of Sussex,2017,179.0
5461,University of Toledo,2017,179.0
5462,University of Colorado at Boulder,1999,179.0
5463,Queen's University,2007,179.0
5464,Bradley University,2010,179.0
5465,Victoria University Australia,2008,179.0
5466,Tokyo University of Agriculture and Technology,2012,178.0
5467,Tsinghua University,2013,178.0
5468,Loughborough University,2003,178.0
5469,University of Salford,2022,178.0
5470,California State University Long Beach,2017,178.0
5471,Symbiosis Institute of Technology,2019,178.0
5472,Polo Universitario de Volta Redonda - Universidade Federal Fluminense,2014,178.0
5473,Oakland University,2018,178.0
5474,Politecnico di Milano,2010,178.0
5475,San Diego State University,2018,178.0
5476,LeTourneau University,2006,178.0
5477,UNESP - Campus de Ilha Solteira,2012,178.0
5478,University of British Columbia - Okanagan,2016,178.0
5479,Texas Tech University,2019,178.0
5480,Shizuoka University,2004,178.0
5481,United States Naval Academy,2019,177.0
5482,Saarland University,2017,177.0
5483,University of South Australia,2010,177.0
5484,Memorial University of Newfoundland,2004,177.0
5485,City University London,2004,177.0
5486,K. J. Somaiya College of Engineering,2008,177.0
5487,University of Southern Queensland,2007,177.0
5488,Coventry University,2013,177.0
5489,Rensselaer Polytechnic Institute,1996,177.0
5490,Embry-Riddle Aeronautical University,2006,177.0
5491,Universidad Politécnica de Cartagena,2013,177.0
5492,Osaka Institute of Technology,2010,177.0
5493,University of Ottawa,2018,177.0
5494,Indian Institute of Technology Bombay,2009,177.0
5495,Technische Hochschule Mittelhessen,2010,177.0
5496,Hunan University,2007,177.0
5497,Universidad Central de Venezuela,2005,177.0
5498,University of Colorado Denver,2006,177.0
5499,State University of New York at Buffalo,2000,177.0
5500,University of Sussex,2012,176.0
5501,FH Campus Wien,2015,176.0
5502,Ural State University of Railway Transport,2014,176.0
5503,University of South Florida,2007,176.0
5504,University of South Carolina,1994,176.0
5505,Universidad Autónoma del Estado de México,2010,176.0
5506,Polo Universitario de Volta Redonda - Universidade Federal Fluminense,2015,176.0
5507,University of Warwick,2009,176.0
5508,McMaster University,1996,176.0
5509,University of Malaga,2021,176.0
5510,United States Air Force Academy,2014,176.0
5511,University of British Columbia - Vancouver,2006,176.0
5512,University of South Australia,2017,176.0
5513,Kingston University,2022,176.0
5514,Hiroshima University,2016,176.0
5515,University of Alberta,2016,176.0
5516,Isfahan University of Technology,2010,176.0
5517,San Diego State University,2010,176.0
5518,Université de Sherbrooke,2019,176.0
5519,University of Pennsylvania,2005,175.0
5520,University of North Carolina at Charlotte,1998,175.0
5521,University of Technology Sydney,2005,175.0
5522,Worcester Polytechnic Institute,2008,175.0
5523,University of Fukui,2012,175.0
5524,Worcester Polytechnic Institute,2007,175.0
5525,Universidad Politécnica de Madrid (UPM),2005,175.0
5526,Wayne State University,2005,175.0
5527,Mississippi State University,2009,175.0
5528,Gadjah Mada University,2022,175.0
5529,Kogakuin University,2005,175.0
5530,Western Washington University,2006,175.0
5531,Michigan Technological University,1997,175.0
5532,Kanazawa University,2015,175.0
5533,Cape Peninsula University of Technology,2012,175.0
5534,Fachhochschule Dortmund,2009,174.0
5535,Lehigh University,2017,174.0
5536,Universidade Federal de Santa Catarina,2015,174.0
5537,University of Ljubljana,2017,174.0
5538,Manipal Academy of Higher Education,2010,174.0
5539,Instituto Tecnológico de Chihuahua,2015,174.0
5540,McMaster University,2008,174.0
5541,United States Naval Academy,2014,174.0
5542,Flinders University,2016,174.0
5543,Iowa State University,2008,174.0
5544,San Diego State University,2012,174.0
5545,University of Utah,2015,174.0
5546,University of California San Diego,1999,174.0
5547,Cape Peninsula University of Technology,2014,174.0
5548,Moscow Polytechnic University,2015,174.0
5549,Stevens Institute of Technology,2011,174.0
5550,University of Southern Denmark,2009,174.0
5551,Lakehead University,2022,174.0
5552,Symbiosis Institute of Technology,2020,174.0
5553,MCT's Rajiv Gandhi Institute of Technology,2020,173.0
5554,Tokyo Denki University,2009,173.0
5555,University of Minnesota Twin Cities,2000,173.0
5556,Vanderbilt University,2001,173.0
5557,HAN University of Applied Sciences,2017,173.0
5558,Colorado School of Mines,2001,173.0
5559,Brunel University London,2001,173.0
5560,Saint Louis University,2017,173.0
5561,California State University Chico,2014,173.0
5562,Concordia University,2007,173.0
5563,Northern Illinois University,2013,173.0
5564,Carleton University,2006,173.0
5565,Università del Salento,2008,173.0
5566,Lehigh University,2008,173.0
5567,University of Applied Sciences Ravensburg-Weingarten,2009,173.0
5568,Universidad Panamericana Sede México,2005,173.0
5569,Technical University of Sofia,2016,173.0
5570,Wayne State University,2013,173.0
5571,University of Hartford,2012,173.0
5572,Guangxi University of Science and Technology,2019,173.0
5573,Northwestern University,2014,173.0
5574,Toyota Technical College Nagoya,2019,173.0
5575,Thapar Institute of Engineering and Technology,2012,173.0
5576,SRM Institute of Science and Technology - Kattankulathur,2016,173.0
5577,University of Central Florida,2003,173.0
5578,Universidad Politecnica Salesiana,2014,172.0
5579,University of Louisville,2007,172.0
5580,Sardar Patel College of Engineering Mumbai,2018,172.0
5581,Manipal Academy of Higher Education,2014,172.0
5582,Aichi Institute of Technology,2017,172.0
5583,Bradley University,2011,172.0
5584,Gifu University,2010,172.0
5585,Universidade Federal de São João del Rei,2013,172.0
5586,Kyushu Institute of Technology,2005,172.0
5587,Universidad Nacional Experimental Politécnica,2007,172.0
5588,Lehigh University,2015,172.0
5589,University of Exeter,2018,172.0
5590,University of Idaho,2002,172.0
5591,University of Wisconsin-Platteville,2004,172.0
5592,University of Edinburgh,2022,172.0
5593,Université du Québec à Chicoutimi,2012,172.0
5594,Instituto Tecnológico de Chihuahua,2001,171.0
5595,United States Naval Academy,2006,171.0
5596,Delhi Technological University,2007,171.0
5597,University of Cambridge,2008,171.0
5598,Kobe University,2007,171.0
5599,Chalmers University of Technology,2002,171.0
5600,Escola Politécnica da Universidade de São Paulo,2009,171.0
5601,San Diego State University,2015,171.0
5602,Koblenz University of Applied Science,2019,171.0
5603,Technical University of Sofia,2022,171.0
5604,École Polytechnique de Montréal,2000,171.0
5605,Sepuluh Nopember Institute of Technology,2017,170.0
5606,Western Michigan University,2015,170.0
5607,University College London,2015,170.0
5608,Yeungnam University College,2018,170.0
5609,Brown University,2014,170.0
5610,University of Hartford,2009,170.0
5611,University of Manchester,2012,170.0
5612,Gdańsk University of Technology,2018,170.0
5613,Universidade Federal do Paraná,2017,170.0
5614,University of Minnesota Duluth,2013,170.0
5615,University of Ulster,2004,170.0
5616,Concordia University,2004,170.0
5617,The University of Kitakyushu,2017,170.0
5618,Aalborg University,2015,170.0
5619,R.V.College of Engineering,2007,170.0
5620,University of Illinois at Chicago,2022,170.0
5621,University of North Florida,2019,170.0
5622,Universidade Federal de Minas Gerais,2011,170.0
5623,Portland State University,2014,170.0
5624,R.V.College of Engineering,2006,170.0
5625,Hochschule für Technik und Wirtschaft Mittweida,2009,169.0
5626,Technological Educational Institute of Western Macedonia,2017,169.0
5627,Ural State University of Railway Transport,2019,169.0
5628,Duke University,2022,169.0
5629,Purdue University - West Lafayette,1997,169.0
5630,Université du Québec à Chicoutimi,2006,169.0
5631,Universidad Autónoma del Estado de México,2017,169.0
5632,Setsunan University,2018,169.0
5633,Brunel University London,2021,169.0
5634,Virginia Commonwealth University,2019,169.0
5635,Daido Institute of Technology,2010,169.0
5636,University College Dublin,2001,169.0
5637,UNESP - Campus de Ilha Solteira,2015,169.0
5638,Sojo University,2015,169.0
5639,University of Cincinnati,2010,169.0
5640,The University of Newcastle,2006,168.0
5641,Texas Tech University,2012,168.0
5642,Birmingham City University,2015,168.0
5643,Syracuse University,2018,168.0
5644,Unidad Profesional Interdisciplinaria en Ingeniería y Tecnologías Avanzadas or UPIITA,2019,168.0
5645,West Virginia University,2022,168.0
5646,Oklahoma State University - Stillwater,1998,168.0
5647,Brandenburgische Technische Universität Cottbus,2013,168.0
5648,Washington State University,2012,168.0
5649,California State University Northridge,2011,168.0
5650,Université du Québec à Chicoutimi,2008,168.0
5651,Polytechnic Institute of New York University,2002,168.0
5652,Hacettepe University,2019,168.0
5653,Universitat Jaume I,2018,168.0
5654,The National Institute of Engineering Mysore,2020,168.0
5655,University of Sussex,2014,168.0
5656,R.V.College of Engineering,2014,168.0
5657,Hoseo University,2006,168.0
5658,Milwaukee School of Engineering,2001,168.0
5659,Delhi Technological University,2014,168.0
5660,Universidad Autónoma del Estado de México,2018,168.0
5661,Osaka City University,2010,168.0
5662,Universidade Estadual de Campinas,2007,168.0
5663,Universidade Federal do Rio de Janeiro,2008,168.0
5664,University of North Carolina at Charlotte,2000,167.0
5665,University of Wisconsin-Platteville,2009,167.0
5666,Sheffield Hallam University,2016,167.0
5667,University of Nottingham,2011,167.0
5668,San Diego State University,2016,167.0
5669,Osaka Institute of Technology,2019,167.0
5670,Clarkson University,2011,167.0
5671,Florida International University,2019,167.0
5672,Université du Québec à Chicoutimi,1999,167.0
5673,Okayama University,2016,167.0
5674,Technische Universität Dortmund,2014,166.0
5675,Birla Institute of Technology &amp; Science  Pilani,2014,166.0
5676,PES Institute of Technology,2010,166.0
5677,University of Birmingham,1999,166.0
5678,University of West Bohemia,2012,166.0
5679,Polytechnic Institute of New York University,1998,166.0
5680,University of Patras,2004,166.0
5681,Universidad Rey Juan Carlos,2022,166.0
5682,University of Sheffield,2013,166.0
5683,University of Nebraska–Lincoln,2012,166.0
5684,Sepuluh Nopember Institute of Technology,2019,166.0
5685,University of Toledo,1995,166.0
5686,Universidade Federal da Bahia,2016,166.0
5687,Heriot-Watt University,2013,166.0
5688,Lakehead University,2014,166.0
5689,Università degli Studi di Roma Tor Vergata,2008,166.0
5690,University of Texas at San Antonio,2002,166.0
5691,Coventry University,2009,166.0
5692,University of Portsmouth,2017,166.0
5693,Universidade Federal de Santa Catarina,2012,166.0
5694,Ramaiah Institute of Technology,2008,166.0
5695,Carnegie Mellon University,2011,166.0
5696,Indian Institute of Technology Madras,2014,165.0
5697,Kasetsart University,2015,165.0
5698,Universidad de Oriente Venezuela,2008,165.0
5699,Universidad Nacional Autónoma de México,2012,165.0
5700,Western Sydney University,2017,165.0
5701,University of Victoria,2002,165.0
5702,Cairo University,2015,165.0
5703,University of North Florida,2016,165.0
5704,Meisei University,2004,165.0
5705,Drexel University,2013,165.0
5706,Polytechnic Institute of Leiria,2022,165.0
5707,Manipal Academy of Higher Education,2022,165.0
5708,John von Neumann University,2019,164.0
5709,North Dakota State University,2017,164.0
5710,J.C. Bose University of Science and Technology YMCA,2019,164.0
5711,University of Louisville,2011,164.0
5712,Università degli Studi di Catania,2006,164.0
5713,McMaster University,2007,164.0
5714,University of Liverpool,2008,164.0
5715,South Dakota School of Mines and Technology,2019,164.0
5716,Ferris State University,2010,164.0
5717,University of Houston,2018,164.0
5718,Montana State University - Bozeman,2010,164.0
5719,Kyoto University,2004,164.0
5720,Lund University,2016,164.0
5721,Queen's University,2015,164.0
5722,Universidad Panamericana Sede México,2022,164.0
5723,University of Wyoming,1998,163.0
5724,Institute of Technologists,2014,163.0
5725,Universitat Jaume I,2017,163.0
5726,Bradley University,2016,163.0
5727,Brown University,2016,163.0
5728,Universidad Central de Venezuela,2010,163.0
5729,Southern Illinois University Carbondale,1999,163.0
5730,Michigan Technological University,2005,163.0
5731,Universidad Panamericana Sede México,2019,163.0
5732,Delhi Technological University,2009,163.0
5733,Oregon Institute of Technology,2016,163.0
5734,Deakin University,2010,163.0
5735,University of California Irvine,2015,163.0
5736,University of Portsmouth,2019,163.0
5737,University of Hartford,2022,162.0
5738,Ryerson University,2012,162.0
5739,Bergische Universität Wuppertal,2016,162.0
5740,Universidade Estadual Paulista - Guaratinguetá,2012,162.0
5741,Moscow Polytechnic University,2009,162.0
5742,University of British Columbia - Okanagan,2022,162.0
5743,Sojo University,2012,162.0
5744,Universidad Nacional Experimental Politécnica,2011,162.0
5745,State University of New York at Buffalo,2010,162.0
5746,University of Louisiana at Lafayette,2017,162.0
5747,University of Connecticut,2010,162.0
5748,Lakehead University,2011,162.0
5749,Southern Illinois University Carbondale,2002,162.0
5750,Wayne State University,2011,162.0
5751,Universidade de Brasília,2017,162.0
5752,Universidad Central de Venezuela,2012,162.0
5753,University of Sunderland,2006,162.0
5754,Universidade Estadual Paulista - Guaratinguetá,2009,161.0
5755,Kyushu Institute of Technology,2006,161.0
5756,San Diego State University,2009,161.0
5757,College of Science and Technology Nihon University,2018,161.0
5758,Chiba Institute of Technology,2017,161.0
5759,United States Naval Academy,2005,161.0
5760,University of Illinois at Chicago,2017,161.0
5761,College of Science and Technology Nihon University,2001,161.0
5762,Kurume Institute of Technology,2016,161.0
5763,University of Southern Denmark,2010,161.0
5764,University of Alabama,2014,161.0
5765,Université de Sherbrooke,2010,161.0
5766,Kanagawa Institute of Technology,2001,161.0
5767,TAMK University of Applied Sciences,2008,160.0
5768,University College London,2006,160.0
5769,Politecnico di Bari,2017,160.0
5770,University of Louisville,2005,160.0
5771,Southern Illinois University Edwardsville,2015,160.0
5772,University of Patras,2008,160.0
5773,University of Arizona,2002,160.0
5774,Florida Atlantic University,2013,160.0
5775,Université du Québec à Trois-Rivières,1997,160.0
5776,University of Central Lancashire,2005,160.0
5777,University of Central Florida,2014,159.0
5778,Temple University,2008,159.0
5779,University of Southampton,2014,159.0
5780,Berlin School of Economics,2008,159.0
5781,Universidad Panamericana Sede México,2018,159.0
5782,National Institute of Technology - Kurukshetra,2019,159.0
5783,University of Delhi,2005,159.0
5784,Wichita State University,2019,159.0
5785,Amrita School of Engineering Coimbatore,2020,159.0
5786,University of Kansas,1995,159.0
5787,Rutgers The State University of New Jersey,2013,159.0
5788,Indian Institute of Technology Bombay,2008,158.0
5789,Sri Venkateswara College of Engineering,2018,158.0
5790,Colorado School of Mines,1997,158.0
5791,University of Fukui,2008,158.0
5792,University of Patras,2007,158.0
5793,Duke University,2003,158.0
5794,Universität Kassel,2011,158.0
5795,Brno University of Technology,2011,158.0
5796,Hindustan Institute of Technology and Science,2010,158.0
5797,Istanbul Technical University,2010,158.0
5798,University of New Hampshire,2004,158.0
5799,Universidade Federal de Santa Catarina - Joinville,2016,158.0
5800,Universidade Federal de Santa Catarina - Joinville,2015,158.0
5801,Meisei University,2006,157.0
5802,Lakehead University,2018,157.0
5803,Stevens Institute of Technology,2002,157.0
5804,University of Texas at San Antonio,2004,157.0
5805,Kobe University,2005,157.0
5806,University of Calgary,2011,157.0
5807,Okayama University,2005,157.0
5808,Vishwakarma Institute of Information Technology,2020,157.0
5809,UNESP - Campus de Ilha Solteira,2016,157.0
5810,University of Missouri,1995,157.0
5811,Slovak University of Technology in Bratislava,2010,157.0
5812,Aalborg University,2010,157.0
5813,Meisei University,2017,157.0
5814,San Diego State University,2002,157.0
5815,Loyola Marymount University,2002,157.0
5816,Niigata University,2014,157.0
5817,Nicholls State University,1996,157.0
5818,Universidade Federal de Sergipe,2016,157.0
5819,Universidad de Oriente Venezuela,2006,157.0
5820,Wayne State University,2012,156.0
5821,Odessa Polytechnic National State University,2015,156.0
5822,National University of Sciences and Technology - Karachi,2018,156.0
5823,York College of Pennsylvania,2014,156.0
5824,Sinhgad College of Engineering Vadgaon,2020,156.0
5825,Colorado Mesa University,2017,156.0
5826,University of Miskolc,2015,156.0
5827,University of Central Lancashire,2010,156.0
5828,Hochschule Heilbronn,2011,156.0
5829,Amity School of Engineering and Technology,2022,156.0
5830,Hochschule Offenburg,2007,156.0
5831,University of Evansville,2012,155.0
5832,University of Moratuwa,2016,155.0
5833,University of Exeter,2013,155.0
5834,University of Florida,1995,155.0
5835,Montana State University - Bozeman,2006,155.0
5836,University of Delaware,1999,155.0
5837,Stevens Institute of Technology,2014,155.0
5838,Sophia University,2015,155.0
5839,University of Cambridge,2019,155.0
5840,North Carolina Agricultural and Technical State University,2012,155.0
5841,Carnegie Mellon University,2002,155.0
5842,Sinhgad College of Engineering Vadgaon,2019,155.0
5843,Washington State University,2019,155.0
5844,University of Hawaii at Manoa,2015,155.0
5845,Reykjavík University,2016,155.0
5846,Universidade Paulista,2013,155.0
5847,Universidade Paulista,2008,155.0
5848,Kochi University of Technology,2007,154.0
5849,PSG College of Technology,2016,154.0
5850,Florida International University,2014,154.0
5851,Ferris State University,2015,154.0
5852,Universidad Autónoma del Estado de México,2013,154.0
5853,South Dakota State University,2009,154.0
5854,Iran University of Science and Technology - Arak,2009,154.0
5855,Birla Institute of Technology &amp; Science  Pilani,2012,154.0
5856,Université Laval,1999,154.0
5857,Graphic Era University,2018,154.0
5858,Rajarambapu Institute of Technology,2019,154.0
5859,Universidad Central de Venezuela,2013,154.0
5860,Kochi University of Technology,2006,154.0
5861,Rajendra Mane College of Engineering and Technology,2019,154.0
5862,Clarkson University,1995,154.0
5863,San Diego State University,2011,154.0
5864,Duke University,2002,154.0
5865,Universidad Nacional Experimental Politécnica,2008,154.0
5866,Berlin School of Economics,2007,154.0
5867,United States Air Force Academy,2002,154.0
5868,Indian Institute of Technology Delhi,2008,154.0
5869,St. Cloud State University,2012,154.0
5870,Federation University Australia,2006,153.0
5871,K. J. Somaiya College of Engineering,2011,153.0
5872,Universidade Federal do Ceará,2007,153.0
5873,University of Ulster,2009,153.0
5874,École Centrale de Lyon,2017,153.0
5875,Vidyavardhini's College of Engineering and Technology,2018,153.0
5876,University of Guelph,2007,153.0
5877,Guru Gobind Singh Indraprastha University,2008,153.0
5878,Indian Institute of Technology Kanpur,2013,153.0
5879,University of Oklahoma,1995,153.0
5880,Loughborough University,2004,153.0
5881,University of Edinburgh,2019,153.0
5882,University of Cincinnati,1994,152.0
5883,Southern Taiwan University of Technology,2008,152.0
5884,Hochschule für Angewandte Wissenschaften Hamburg,2004,152.0
5885,Technical University of Sofia,2019,152.0
