uni,date,event,total
Università degli Studi di Roma La Sapienza,2013,Italy,115
École Polytechnique Fédérale de Lausanne,2019,Germany,113
Lancaster  University,2018,United Kingdom,113
Technische Universität Braunschweig,2018,Germany,112
Shizuoka Institute of Science and Technology,2017,Japan,112
Hochschule Esslingen,2012,Italy,112
Technische Universität Braunschweig,2022,Czech Republic,112
Technische Hochschule Köln,2015,Germany,111
Hochschule für Angewandte Wissenschaften Hof,2016,East,110
Technische Universität Kaiserslautern,2016,Germany,110
Universität Kassel,2022,Germany,109
Moscow State Automobile &amp; Road Technical University - MADI,2015,Hungary,109
University of Nottingham,2018,United Kingdom,108
Technical University of Denmark,2022,United Kingdom,108
Moscow State Automobile &amp; Road Technical University - MADI,2015,Spain,107
Kingston University,2014,United Kingdom,107
Helsinki Metropolia University of Applied Sciences,2015,United Kingdom,107
University of New South Wales - Australian Defence Force Academy,2022,Australia,105
Hochschule Ruhr West - UAS,2016,Italy,105
University of Surrey,2016,United Kingdom,104
Deggendorf Institute of Technology,2022,Alpe Adria,104
Universidad Pontificia Comillas,2019,Spain,104
AGH University of Science and Technology,2018,Spain,104
Liaoning University of Technology,2019,Germany,102
Hochschule Mannheim,2019,Spain,102
Technische Universität Darmstadt,2021,Netherlands,102
Universität Duisburg-Essen,2015,Spain,101
University of Burgundy - ISAT,2019,Netherlands,101
Slovak University of Technology in Bratislava,2019,Italy,101
Harbin Institute of Technology at Weihai,2019,Japan,101
University of New South Wales,2019,Australia,101
Hochschule Ruhr West - UAS,2018,Germany,100
Duale Hochschule Baden-Württemberg - Mannheim,2018,Italy,100
Technische Universität Kaiserslautern,2021,Austria,100
Vrije Universiteit Brussel,2022,Netherlands,98
University of Southern Denmark,2016,United Kingdom,98
University of Stavanger,2019,Netherlands,97
Hubei University of Automotive Technology,2018,Germany,96
Loughborough University,2022,United Kingdom,95
Delhi Technological University,2022,India,95
Cairo University,2022,United Kingdom,95
Seikei University,2019,Japan,94
Guangxi Science and Technology University Lushan College,2019,Germany,93
Hochschule Darmstadt UAS,2013,Austria,93
Universität Kassel,2018,Italy,92
Kanagawa University,2019,Japan,92
Friedrich-Alexander-Universität Erlangen-Nürnberg,2022,Italy,91
Hochschule für angewandte Wissenschaften Augsburg,2012,Germany,91
Ghent University,2022,Netherlands,91
Technische Hochschule Ostwestfalen-Lippe,2019,Germany,89
Universidad Pontificia Comillas,2018,Spain,89
Hochschule Aalen - Technik und Wirtschaft,2021,Netherlands,89
Università degli Studi di Roma La Sapienza,2019,Spain,88
University of Iceland,2012,United Kingdom,87
Saarland University,2018,Germany,87
Technische Hochschule Köln,2017,Germany,86
Escola d'Enginyeria de Barcelona Est. EEBE,2014,Spain,85
Slovak University of Technology in Bratislava,2011,Germany,84
University of California Irvine,2018,Lincoln,84
University of Tasmania,2019,Australia,84
Technische Universität Ilmenau,2018,Germany,84
San Diego State University,2022,Michigan,83
Università degli Studi di Roma La Sapienza,2015,Spain,83
Slovak University of Technology in Bratislava,2022,Austria,83
University of Bristol,2016,United Kingdom,83
University of Nottingham,2019,United Kingdom,83
Indian Institute of Technology Delhi,2016,Germany,82
Hochschule Esslingen,2022,Alpe Adria,82
Kanagawa University,2018,Japan,81
Tohoku University,2015,Japan,81
University of Iceland,2017,Austria,81
VIT University - Vellore,2013,United Kingdom,80
Zürcher Hochschule für Angewandte Wissenschaften,2022,Germany,79
Slovak University of Technology in Bratislava,2015,Germany,79
Moscow State Automobile &amp; Road Technical University - MADI,2013,Italy,79
Technische Universität Graz,2021,Austria,79
University of Warwick,2021,United Kingdom,79
The University of Newcastle,2018,Australia,79
Dwarkadas. J. Sanghvi College of Engineering,2018,East,78
University of Stavanger,2018,United Kingdom,77
Sepuluh Nopember Institute of Technology,2019,Japan,76
Hochschule Ruhr West - UAS,2018,Italy,76
Daido Institute of Technology,2013,Japan,75
Technische Universität Clausthal,2014,Germany,75
Lancaster  University,2017,United Kingdom,72
Universidad de Oviedo,2022,Spain,71
Drexel University,2022,Michigan,70
University of Leicester,2016,United Kingdom,70
Imperial College London,2016,United Kingdom,69
University of Maryland,2022,Michigan,69
Università degli Studi di Roma La Sapienza,2015,Italy,67
Universidad Pontificia Comillas,2021,Spain,67
Technical University of Cluj-Napoca,2022,Alpe Adria,66
Moscow State Automobile &amp; Road Technical University - MADI,2014,Hungary,66
École Polytechnique de Montréal,2012,Germany,66
Bern University of Applied Sciences,2015,Italy,66
University of Oxford,2022,United Kingdom,66
University of Agder,2022,Italy,65
Gadjah Mada University,2017,Japan,65
Universidad de Castilla-La Mancha,2018,Spain,64
Thomas More Mechelen - De Nayer,2013,United Kingdom,64
Universität Siegen,2021,Netherlands,64
Universität Paderborn,2021,Netherlands,64
University of La Laguna,2022,Spain,63
VIT University - Vellore,2014,Italy,63
Iwate University,2019,Japan,63
Universität Bremen,2015,Germany,62
University of Zagreb,2021,Netherlands,60
Universidad de Oviedo,2021,Spain,60
Kanagawa Institute of Technology,2014,Japan,60
University of Bristol,2018,United Kingdom,59
University of Southern Denmark,2019,United Kingdom,59
Kingston University,2015,United Kingdom,58
Rutgers The State University of New Jersey,2022,Michigan,58
Slovak University of Technology in Bratislava,2022,Czech Republic,57
Niigata Institute of Technology,2015,Japan,57
Fachhochschule Osnabrück,2022,Germany,55
Hochschule Aalen - Technik und Wirtschaft,2022,Italy,54
Thomas More Mechelen - De Nayer,2012,United Kingdom,54
Universidad Politécnica de Madrid (UPM),2011,Germany,54
University of Zagreb,2021,United Kingdom,53
University of Iceland,2011,United Kingdom,53
Tohoku University,2018,Japan,52
Universidad Politécnica de Cartagena,2018,Spain,52
National Cheng Kung University,2019,Japan,52
University of Cincinnati,2022,Michigan,51
Technische Universität Berlin,2018,Germany,50
Gadjah Mada University,2019,Japan,50
Fachhochschule für Wirtschaft und Technik,2021,Germany,49
Universität Duisburg-Essen,2017,Spain,49
University of South Australia,2022,Australia,48
University of Iceland,2019,Austria,46
Rheinisch-Westfälische Technische Hochschule Aachen,2011,Germany,46
National Taipei University of Technology,2019,Japan,43
Leopold-Franzens-Universität Innsbruck,2021,Austria,43
Tohoku University,2013,Japan,42
University of Southern California,2022,Michigan,42
Tohoku University,2014,Japan,40
University of California - Santa Cruz,2019,Lincoln,40
Hochschule Düsseldorf,2017,Italy,40
Islamic Azad University of Karaj,2013,Italy,38
Universität Bremen,2017,Germany,37
Fachhochschule Osnabrück,2022,Austria,37
Toyota Technical College Nagoya,2019,Japan,37
Shizuoka Institute of Science and Technology,2018,Japan,36
University of Leicester,2015,United Kingdom,36
University of Stavanger,2014,United Kingdom,32
Newcastle University,2012,United Kingdom,32
The Hague University of Applied Sciences,2017,United Kingdom,29
Hochschule Mannheim,2019,Germany,26
University of Belgrade (Универзитет у Београду),2022,Netherlands,24
Hochschule für Angewandte Wissenschaften Hof,2017,Italy,23
Rhein-Waal University of Applied Sciences,2016,Spain,22
VIT University - Vellore,2015,Germany,22
ESTACA - West (Ecole Supérieure des Techniques Aéronautiques et de Construction Automobile),2016,Italy,22
Toyota Technical College Nagoya,2014,Japan,21
Fachhochschule Osnabrück,2022,Italy,20
Tongji University,2015,Japan,19
Universität Duisburg-Essen,2012,Italy,19
Queensland University of Technology,2015,Australia,18
Brunel University London,2019,United Kingdom,17
University of Patras,2021,United Kingdom,17
TECNUN - University of Navarra,2012,Spain,16
Kanagawa Institute of Technology,2019,Japan,12
Bern University of Applied Sciences,2021,United Kingdom,12
Rajshahi University of Engineering &amp; Technology,2019,Japan,12
Kyushu Institute of Technology,2016,Japan,8
University of Alcalá,2014,Spain,7
Hochschule Aalen - Technik und Wirtschaft,2012,Italy,7
Hochschule für Angewandte Wissenschaften Hof,2014,Italy,6
Queensland University of Technology,2022,Australia,4
Hochschule Düsseldorf,2021,Italy,4
Hochschule Landshut,2017,Germany,3
